sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
9.0,1.0,cigarette,neutral,842.0,4.0,0.25
10.0,1.0,cigarette,alcohol,842.0,9.0,0.444444444444
10.0,1.0,cigarette,cigarette,842.0,9.0,0.444444444444
10.0,1.0,cigarette,neutral,842.0,9.0,0.111111111111
11.0,1.0,cigarette,alcohol,842.0,8.0,0.125
11.0,1.0,cigarette,cigarette,842.0,8.0,0.5
11.0,1.0,cigarette,neutral,842.0,8.0,0.375
12.0,1.0,cigarette,alcohol,842.0,3.0,0.0
12.0,1.0,cigarette,cigarette,842.0,3.0,0.333333333333
12.0,1.0,cigarette,neutral,842.0,3.0,0.666666666667
13.0,1.0,cigarette,alcohol,842.0,24.0,0.208333333333
13.0,1.0,cigarette,cigarette,842.0,24.0,0.416666666667
13.0,1.0,cigarette,neutral,842.0,24.0,0.375
14.0,1.0,cigarette,alcohol,842.0,15.0,0.333333333333
14.0,1.0,cigarette,cigarette,842.0,15.0,0.333333333333
14.0,1.0,cigarette,neutral,842.0,15.0,0.333333333333
15.0,1.0,cigarette,alcohol,842.0,16.0,0.25
15.0,1.0,cigarette,cigarette,842.0,16.0,0.4375
15.0,1.0,cigarette,neutral,842.0,16.0,0.3125
16.0,1.0,cigarette,alcohol,842.0,10.0,0.2
16.0,1.0,cigarette,cigarette,842.0,10.0,0.7
16.0,1.0,cigarette,neutral,842.0,10.0,0.1
17.0,1.0,cigarette,alcohol,842.0,7.0,0.285714285714
17.0,1.0,cigarette,cigarette,842.0,7.0,0.428571428571
17.0,1.0,cigarette,neutral,842.0,7.0,0.285714285714
18.0,1.0,cigarette,alcohol,842.0,9.0,0.555555555556
18.0,1.0,cigarette,cigarette,842.0,9.0,0.222222222222
18.0,1.0,cigarette,neutral,842.0,9.0,0.222222222222
19.0,1.0,cigarette,alcohol,842.0,6.0,0.166666666667
19.0,1.0,cigarette,cigarette,842.0,6.0,0.666666666667
19.0,1.0,cigarette,neutral,842.0,6.0,0.166666666667
20.0,1.0,cigarette,alcohol,842.0,18.0,0.222222222222
20.0,1.0,cigarette,cigarette,842.0,18.0,0.555555555556
20.0,1.0,cigarette,neutral,842.0,18.0,0.222222222222
21.0,1.0,cigarette,alcohol,842.0,10.0,0.3
21.0,1.0,cigarette,cigarette,842.0,10.0,0.3
21.0,1.0,cigarette,neutral,842.0,10.0,0.4
22.0,1.0,cigarette,alcohol,842.0,4.0,0.25
22.0,1.0,cigarette,cigarette,842.0,4.0,0.25
22.0,1.0,cigarette,neutral,842.0,4.0,0.5
23.0,1.0,cigarette,alcohol,842.0,5.0,0.2
23.0,1.0,cigarette,cigarette,842.0,5.0,0.6
23.0,1.0,cigarette,neutral,842.0,5.0,0.2
24.0,1.0,cigarette,alcohol,842.0,20.0,0.35
24.0,1.0,cigarette,cigarette,842.0,20.0,0.5
24.0,1.0,cigarette,neutral,842.0,20.0,0.15
25.0,1.0,cigarette,alcohol,842.0,11.0,0.272727272727
25.0,1.0,cigarette,cigarette,842.0,11.0,0.454545454545
25.0,1.0,cigarette,neutral,842.0,11.0,0.272727272727
26.0,1.0,cigarette,alcohol,842.0,18.0,0.333333333333
26.0,1.0,cigarette,cigarette,842.0,18.0,0.277777777778
26.0,1.0,cigarette,neutral,842.0,18.0,0.388888888889
27.0,1.0,cigarette,alcohol,842.0,22.0,0.227272727273
27.0,1.0,cigarette,cigarette,842.0,22.0,0.318181818182
27.0,1.0,cigarette,neutral,842.0,22.0,0.454545454545
28.0,1.0,cigarette,alcohol,842.0,9.0,0.444444444444
28.0,1.0,cigarette,cigarette,842.0,9.0,0.333333333333
28.0,1.0,cigarette,neutral,842.0,9.0,0.222222222222
29.0,1.0,cigarette,alcohol,842.0,48.0,0.3125
29.0,1.0,cigarette,cigarette,842.0,48.0,0.520833333333
29.0,1.0,cigarette,neutral,842.0,48.0,0.166666666667
1.0,1.0,neutral,alcohol,842.0,0.0,
1.0,1.0,neutral,cigarette,842.0,0.0,
1.0,1.0,neutral,neutral,842.0,0.0,
2.0,1.0,neutral,alcohol,842.0,0.0,
2.0,1.0,neutral,cigarette,842.0,0.0,
2.0,1.0,neutral,neutral,842.0,0.0,
3.0,1.0,neutral,alcohol,842.0,0.0,
3.0,1.0,neutral,cigarette,842.0,0.0,
3.0,1.0,neutral,neutral,842.0,0.0,
4.0,1.0,neutral,alcohol,842.0,0.0,
4.0,1.0,neutral,cigarette,842.0,0.0,
4.0,1.0,neutral,neutral,842.0,0.0,
5.0,1.0,neutral,alcohol,842.0,7.0,1.0
5.0,1.0,neutral,cigarette,842.0,7.0,0.0
5.0,1.0,neutral,neutral,842.0,7.0,0.0
6.0,1.0,neutral,alcohol,842.0,1.0,0.0
6.0,1.0,neutral,cigarette,842.0,1.0,1.0
6.0,1.0,neutral,neutral,842.0,1.0,0.0
7.0,1.0,neutral,alcohol,842.0,0.0,
7.0,1.0,neutral,cigarette,842.0,0.0,
7.0,1.0,neutral,neutral,842.0,0.0,
8.0,1.0,neutral,alcohol,842.0,1.0,0.0
8.0,1.0,neutral,cigarette,842.0,1.0,0.0
8.0,1.0,neutral,neutral,842.0,1.0,1.0
9.0,1.0,neutral,alcohol,842.0,1.0,0.0
9.0,1.0,neutral,cigarette,842.0,1.0,0.0
9.0,1.0,neutral,neutral,842.0,1.0,1.0
10.0,1.0,neutral,alcohol,842.0,0.0,
10.0,1.0,neutral,cigarette,842.0,0.0,
10.0,1.0,neutral,neutral,842.0,0.0,
11.0,1.0,neutral,alcohol,842.0,0.0,
11.0,1.0,neutral,cigarette,842.0,0.0,
11.0,1.0,neutral,neutral,842.0,0.0,
12.0,1.0,neutral,alcohol,842.0,0.0,
12.0,1.0,neutral,cigarette,842.0,0.0,
12.0,1.0,neutral,neutral,842.0,0.0,
13.0,1.0,neutral,alcohol,842.0,21.0,0.238095238095
13.0,1.0,neutral,cigarette,842.0,21.0,0.238095238095
13.0,1.0,neutral,neutral,842.0,21.0,0.52380952381
14.0,1.0,neutral,alcohol,842.0,0.0,
14.0,1.0,neutral,cigarette,842.0,0.0,
14.0,1.0,neutral,neutral,842.0,0.0,
15.0,1.0,neutral,alcohol,842.0,0.0,
15.0,1.0,neutral,cigarette,842.0,0.0,
15.0,1.0,neutral,neutral,842.0,0.0,
16.0,1.0,neutral,alcohol,842.0,2.0,0.0
16.0,1.0,neutral,cigarette,842.0,2.0,0.5
16.0,1.0,neutral,neutral,842.0,2.0,0.5
17.0,1.0,neutral,alcohol,842.0,3.0,0.666666666667
17.0,1.0,neutral,cigarette,842.0,3.0,0.333333333333
17.0,1.0,neutral,neutral,842.0,3.0,0.0
18.0,1.0,neutral,alcohol,842.0,0.0,
18.0,1.0,neutral,cigarette,842.0,0.0,
18.0,1.0,neutral,neutral,842.0,0.0,
19.0,1.0,neutral,alcohol,842.0,1.0,0.0
19.0,1.0,neutral,cigarette,842.0,1.0,0.0
19.0,1.0,neutral,neutral,842.0,1.0,1.0
20.0,1.0,neutral,alcohol,842.0,3.0,0.0
20.0,1.0,neutral,cigarette,842.0,3.0,0.333333333333
20.0,1.0,neutral,neutral,842.0,3.0,0.666666666667
21.0,1.0,neutral,alcohol,842.0,0.0,
21.0,1.0,neutral,cigarette,842.0,0.0,
21.0,1.0,neutral,neutral,842.0,0.0,
22.0,1.0,neutral,alcohol,842.0,0.0,
22.0,1.0,neutral,cigarette,842.0,0.0,
22.0,1.0,neutral,neutral,842.0,0.0,
23.0,1.0,neutral,alcohol,842.0,0.0,
23.0,1.0,neutral,cigarette,842.0,0.0,
23.0,1.0,neutral,neutral,842.0,0.0,
24.0,1.0,neutral,alcohol,842.0,3.0,0.333333333333
24.0,1.0,neutral,cigarette,842.0,3.0,0.333333333333
24.0,1.0,neutral,neutral,842.0,3.0,0.333333333333
25.0,1.0,neutral,alcohol,842.0,2.0,0.0
25.0,1.0,neutral,cigarette,842.0,2.0,0.0
25.0,1.0,neutral,neutral,842.0,2.0,1.0
26.0,1.0,neutral,alcohol,842.0,9.0,0.0
26.0,1.0,neutral,cigarette,842.0,9.0,0.222222222222
26.0,1.0,neutral,neutral,842.0,9.0,0.777777777778
27.0,1.0,neutral,alcohol,842.0,27.0,0.333333333333
27.0,1.0,neutral,cigarette,842.0,27.0,0.444444444444
27.0,1.0,neutral,neutral,842.0,27.0,0.222222222222
28.0,1.0,neutral,alcohol,842.0,2.0,0.5
28.0,1.0,neutral,cigarette,842.0,2.0,0.0
28.0,1.0,neutral,neutral,842.0,2.0,0.5
29.0,1.0,neutral,alcohol,842.0,0.0,
29.0,1.0,neutral,cigarette,842.0,0.0,
29.0,1.0,neutral,neutral,842.0,0.0,
