sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,CIG,alcohol,993.0,3.0,2.0,0.666666666667
1.0,3.0,CIG,cigarette,993.0,3.0,1.0,0.333333333333
1.0,3.0,CIG,neutral,993.0,3.0,0.0,0.0
2.0,3.0,CIG,alcohol,993.0,3.0,1.0,0.333333333333
2.0,3.0,CIG,cigarette,993.0,3.0,1.0,0.333333333333
2.0,3.0,CIG,neutral,993.0,3.0,1.0,0.333333333333
3.0,3.0,CIG,alcohol,993.0,9.0,4.0,0.444444444444
3.0,3.0,CIG,cigarette,993.0,9.0,1.0,0.111111111111
3.0,3.0,CIG,neutral,993.0,9.0,4.0,0.444444444444
4.0,3.0,CIG,alcohol,993.0,0.0,0.0,
4.0,3.0,CIG,cigarette,993.0,0.0,0.0,
4.0,3.0,CIG,neutral,993.0,0.0,0.0,
5.0,3.0,CIG,alcohol,993.0,5.0,2.0,0.4
5.0,3.0,CIG,cigarette,993.0,5.0,3.0,0.6
5.0,3.0,CIG,neutral,993.0,5.0,0.0,0.0
6.0,3.0,CIG,alcohol,993.0,19.0,6.0,0.315789473684
6.0,3.0,CIG,cigarette,993.0,19.0,6.0,0.315789473684
6.0,3.0,CIG,neutral,993.0,19.0,7.0,0.368421052632
7.0,3.0,CIG,alcohol,993.0,0.0,0.0,
7.0,3.0,CIG,cigarette,993.0,0.0,0.0,
7.0,3.0,CIG,neutral,993.0,0.0,0.0,
8.0,3.0,CIG,alcohol,993.0,4.0,2.0,0.5
8.0,3.0,CIG,cigarette,993.0,4.0,1.0,0.25
8.0,3.0,CIG,neutral,993.0,4.0,1.0,0.25
9.0,3.0,CIG,alcohol,993.0,9.0,7.0,0.777777777778
9.0,3.0,CIG,cigarette,993.0,9.0,0.0,0.0
9.0,3.0,CIG,neutral,993.0,9.0,2.0,0.222222222222
10.0,3.0,CIG,alcohol,993.0,17.0,8.0,0.470588235294
10.0,3.0,CIG,cigarette,993.0,17.0,2.0,0.117647058824
10.0,3.0,CIG,neutral,993.0,17.0,7.0,0.411764705882
11.0,3.0,CIG,alcohol,993.0,23.0,16.0,0.695652173913
11.0,3.0,CIG,cigarette,993.0,23.0,5.0,0.217391304348
11.0,3.0,CIG,neutral,993.0,23.0,2.0,0.0869565217391
12.0,3.0,CIG,alcohol,993.0,3.0,3.0,1.0
12.0,3.0,CIG,cigarette,993.0,3.0,0.0,0.0
12.0,3.0,CIG,neutral,993.0,3.0,0.0,0.0
13.0,3.0,CIG,alcohol,993.0,13.0,5.0,0.384615384615
13.0,3.0,CIG,cigarette,993.0,13.0,3.0,0.230769230769
13.0,3.0,CIG,neutral,993.0,13.0,5.0,0.384615384615
14.0,3.0,CIG,alcohol,993.0,20.0,13.0,0.65
14.0,3.0,CIG,cigarette,993.0,20.0,6.0,0.3
14.0,3.0,CIG,neutral,993.0,20.0,1.0,0.05
15.0,3.0,CIG,alcohol,993.0,0.0,0.0,
15.0,3.0,CIG,cigarette,993.0,0.0,0.0,
15.0,3.0,CIG,neutral,993.0,0.0,0.0,
16.0,3.0,CIG,alcohol,993.0,2.0,2.0,1.0
16.0,3.0,CIG,cigarette,993.0,2.0,0.0,0.0
16.0,3.0,CIG,neutral,993.0,2.0,0.0,0.0
