sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
15.0,4.0,cigarette,alcohol,399.0,12.0,0.333333333333
15.0,4.0,cigarette,cigarette,399.0,12.0,0.666666666667
15.0,4.0,cigarette,neutral,399.0,12.0,0.0
16.0,4.0,cigarette,alcohol,399.0,4.0,0.0
16.0,4.0,cigarette,cigarette,399.0,4.0,1.0
16.0,4.0,cigarette,neutral,399.0,4.0,0.0
17.0,4.0,cigarette,alcohol,399.0,0.0,
17.0,4.0,cigarette,cigarette,399.0,0.0,
17.0,4.0,cigarette,neutral,399.0,0.0,
18.0,4.0,cigarette,alcohol,399.0,1.0,0.0
18.0,4.0,cigarette,cigarette,399.0,1.0,1.0
18.0,4.0,cigarette,neutral,399.0,1.0,0.0
19.0,4.0,cigarette,alcohol,399.0,0.0,
19.0,4.0,cigarette,cigarette,399.0,0.0,
19.0,4.0,cigarette,neutral,399.0,0.0,
20.0,4.0,cigarette,alcohol,399.0,6.0,0.166666666667
20.0,4.0,cigarette,cigarette,399.0,6.0,0.833333333333
20.0,4.0,cigarette,neutral,399.0,6.0,0.0
21.0,4.0,cigarette,alcohol,399.0,1.0,0.0
21.0,4.0,cigarette,cigarette,399.0,1.0,1.0
21.0,4.0,cigarette,neutral,399.0,1.0,0.0
22.0,4.0,cigarette,alcohol,399.0,6.0,0.166666666667
22.0,4.0,cigarette,cigarette,399.0,6.0,0.833333333333
22.0,4.0,cigarette,neutral,399.0,6.0,0.0
23.0,4.0,cigarette,alcohol,399.0,2.0,0.0
23.0,4.0,cigarette,cigarette,399.0,2.0,0.5
23.0,4.0,cigarette,neutral,399.0,2.0,0.5
24.0,4.0,cigarette,alcohol,399.0,7.0,0.428571428571
24.0,4.0,cigarette,cigarette,399.0,7.0,0.428571428571
24.0,4.0,cigarette,neutral,399.0,7.0,0.142857142857
25.0,4.0,cigarette,alcohol,399.0,0.0,
25.0,4.0,cigarette,cigarette,399.0,0.0,
25.0,4.0,cigarette,neutral,399.0,0.0,
26.0,4.0,cigarette,alcohol,399.0,1.0,1.0
26.0,4.0,cigarette,cigarette,399.0,1.0,0.0
26.0,4.0,cigarette,neutral,399.0,1.0,0.0
27.0,4.0,cigarette,alcohol,399.0,13.0,0.615384615385
27.0,4.0,cigarette,cigarette,399.0,13.0,0.307692307692
27.0,4.0,cigarette,neutral,399.0,13.0,0.0769230769231
28.0,4.0,cigarette,alcohol,399.0,5.0,0.2
28.0,4.0,cigarette,cigarette,399.0,5.0,0.4
28.0,4.0,cigarette,neutral,399.0,5.0,0.4
29.0,4.0,cigarette,alcohol,399.0,6.0,0.166666666667
29.0,4.0,cigarette,cigarette,399.0,6.0,0.833333333333
29.0,4.0,cigarette,neutral,399.0,6.0,0.0
1.0,4.0,neutral,alcohol,399.0,2.0,0.0
1.0,4.0,neutral,cigarette,399.0,2.0,0.0
1.0,4.0,neutral,neutral,399.0,2.0,1.0
2.0,4.0,neutral,alcohol,399.0,4.0,0.25
2.0,4.0,neutral,cigarette,399.0,4.0,0.25
2.0,4.0,neutral,neutral,399.0,4.0,0.5
3.0,4.0,neutral,alcohol,399.0,13.0,0.153846153846
3.0,4.0,neutral,cigarette,399.0,13.0,0.384615384615
3.0,4.0,neutral,neutral,399.0,13.0,0.461538461538
4.0,4.0,neutral,alcohol,399.0,0.0,
4.0,4.0,neutral,cigarette,399.0,0.0,
4.0,4.0,neutral,neutral,399.0,0.0,
5.0,4.0,neutral,alcohol,399.0,1.0,0.0
5.0,4.0,neutral,cigarette,399.0,1.0,0.0
5.0,4.0,neutral,neutral,399.0,1.0,1.0
6.0,4.0,neutral,alcohol,399.0,0.0,
6.0,4.0,neutral,cigarette,399.0,0.0,
6.0,4.0,neutral,neutral,399.0,0.0,
7.0,4.0,neutral,alcohol,399.0,0.0,
7.0,4.0,neutral,cigarette,399.0,0.0,
7.0,4.0,neutral,neutral,399.0,0.0,
8.0,4.0,neutral,alcohol,399.0,2.0,0.0
8.0,4.0,neutral,cigarette,399.0,2.0,0.0
8.0,4.0,neutral,neutral,399.0,2.0,1.0
9.0,4.0,neutral,alcohol,399.0,10.0,0.1
9.0,4.0,neutral,cigarette,399.0,10.0,0.5
9.0,4.0,neutral,neutral,399.0,10.0,0.4
10.0,4.0,neutral,alcohol,399.0,0.0,
10.0,4.0,neutral,cigarette,399.0,0.0,
10.0,4.0,neutral,neutral,399.0,0.0,
11.0,4.0,neutral,alcohol,399.0,0.0,
11.0,4.0,neutral,cigarette,399.0,0.0,
11.0,4.0,neutral,neutral,399.0,0.0,
12.0,4.0,neutral,alcohol,399.0,5.0,0.4
12.0,4.0,neutral,cigarette,399.0,5.0,0.2
12.0,4.0,neutral,neutral,399.0,5.0,0.4
13.0,4.0,neutral,alcohol,399.0,19.0,0.210526315789
13.0,4.0,neutral,cigarette,399.0,19.0,0.315789473684
13.0,4.0,neutral,neutral,399.0,19.0,0.473684210526
14.0,4.0,neutral,alcohol,399.0,0.0,
14.0,4.0,neutral,cigarette,399.0,0.0,
14.0,4.0,neutral,neutral,399.0,0.0,
15.0,4.0,neutral,alcohol,399.0,0.0,
15.0,4.0,neutral,cigarette,399.0,0.0,
15.0,4.0,neutral,neutral,399.0,0.0,
16.0,4.0,neutral,alcohol,399.0,0.0,
16.0,4.0,neutral,cigarette,399.0,0.0,
16.0,4.0,neutral,neutral,399.0,0.0,
17.0,4.0,neutral,alcohol,399.0,4.0,0.0
17.0,4.0,neutral,cigarette,399.0,4.0,0.75
17.0,4.0,neutral,neutral,399.0,4.0,0.25
18.0,4.0,neutral,alcohol,399.0,7.0,0.142857142857
18.0,4.0,neutral,cigarette,399.0,7.0,0.428571428571
18.0,4.0,neutral,neutral,399.0,7.0,0.428571428571
19.0,4.0,neutral,alcohol,399.0,6.0,0.0
19.0,4.0,neutral,cigarette,399.0,6.0,0.166666666667
19.0,4.0,neutral,neutral,399.0,6.0,0.833333333333
20.0,4.0,neutral,alcohol,399.0,2.0,0.5
20.0,4.0,neutral,cigarette,399.0,2.0,0.5
20.0,4.0,neutral,neutral,399.0,2.0,0.0
21.0,4.0,neutral,alcohol,399.0,0.0,
21.0,4.0,neutral,cigarette,399.0,0.0,
21.0,4.0,neutral,neutral,399.0,0.0,
22.0,4.0,neutral,alcohol,399.0,1.0,0.0
22.0,4.0,neutral,cigarette,399.0,1.0,0.0
22.0,4.0,neutral,neutral,399.0,1.0,1.0
23.0,4.0,neutral,alcohol,399.0,0.0,
23.0,4.0,neutral,cigarette,399.0,0.0,
23.0,4.0,neutral,neutral,399.0,0.0,
24.0,4.0,neutral,alcohol,399.0,0.0,
24.0,4.0,neutral,cigarette,399.0,0.0,
24.0,4.0,neutral,neutral,399.0,0.0,
25.0,4.0,neutral,alcohol,399.0,1.0,0.0
25.0,4.0,neutral,cigarette,399.0,1.0,0.0
25.0,4.0,neutral,neutral,399.0,1.0,1.0
26.0,4.0,neutral,alcohol,399.0,11.0,0.0
26.0,4.0,neutral,cigarette,399.0,11.0,0.0
26.0,4.0,neutral,neutral,399.0,11.0,1.0
27.0,4.0,neutral,alcohol,399.0,4.0,0.25
27.0,4.0,neutral,cigarette,399.0,4.0,0.25
27.0,4.0,neutral,neutral,399.0,4.0,0.5
28.0,4.0,neutral,alcohol,399.0,6.0,0.333333333333
28.0,4.0,neutral,cigarette,399.0,6.0,0.166666666667
28.0,4.0,neutral,neutral,399.0,6.0,0.5
29.0,4.0,neutral,alcohol,399.0,2.0,0.5
29.0,4.0,neutral,cigarette,399.0,2.0,0.0
29.0,4.0,neutral,neutral,399.0,2.0,0.5
