sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,2.0,alcohol,alcohol,510.0,2.0,1.0
1.0,2.0,alcohol,cigarette,510.0,2.0,0.0
1.0,2.0,alcohol,neutral,510.0,2.0,0.0
2.0,2.0,alcohol,alcohol,510.0,2.0,0.0
2.0,2.0,alcohol,cigarette,510.0,2.0,1.0
2.0,2.0,alcohol,neutral,510.0,2.0,0.0
3.0,2.0,alcohol,alcohol,510.0,7.0,0.714285714286
3.0,2.0,alcohol,cigarette,510.0,7.0,0.285714285714
3.0,2.0,alcohol,neutral,510.0,7.0,0.0
4.0,2.0,alcohol,alcohol,510.0,0.0,
4.0,2.0,alcohol,cigarette,510.0,0.0,
4.0,2.0,alcohol,neutral,510.0,0.0,
5.0,2.0,alcohol,alcohol,510.0,16.0,0.625
5.0,2.0,alcohol,cigarette,510.0,16.0,0.1875
5.0,2.0,alcohol,neutral,510.0,16.0,0.1875
6.0,2.0,alcohol,alcohol,510.0,0.0,
6.0,2.0,alcohol,cigarette,510.0,0.0,
6.0,2.0,alcohol,neutral,510.0,0.0,
7.0,2.0,alcohol,alcohol,510.0,0.0,
7.0,2.0,alcohol,cigarette,510.0,0.0,
7.0,2.0,alcohol,neutral,510.0,0.0,
8.0,2.0,alcohol,alcohol,510.0,11.0,0.636363636364
8.0,2.0,alcohol,cigarette,510.0,11.0,0.0909090909091
8.0,2.0,alcohol,neutral,510.0,11.0,0.272727272727
9.0,2.0,alcohol,alcohol,510.0,2.0,0.5
9.0,2.0,alcohol,cigarette,510.0,2.0,0.0
9.0,2.0,alcohol,neutral,510.0,2.0,0.5
10.0,2.0,alcohol,alcohol,510.0,0.0,
10.0,2.0,alcohol,cigarette,510.0,0.0,
10.0,2.0,alcohol,neutral,510.0,0.0,
11.0,2.0,alcohol,alcohol,510.0,1.0,0.0
11.0,2.0,alcohol,cigarette,510.0,1.0,1.0
11.0,2.0,alcohol,neutral,510.0,1.0,0.0
12.0,2.0,alcohol,alcohol,510.0,0.0,
12.0,2.0,alcohol,cigarette,510.0,0.0,
