sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,970.0,4.0,0.0,0.0
1.0,1.0,cigarette,cigarette,970.0,4.0,3.0,0.75
1.0,1.0,cigarette,neutral,970.0,4.0,1.0,0.25
2.0,1.0,cigarette,alcohol,970.0,1.0,1.0,1.0
2.0,1.0,cigarette,cigarette,970.0,1.0,0.0,0.0
2.0,1.0,cigarette,neutral,970.0,1.0,0.0,0.0
3.0,1.0,cigarette,alcohol,970.0,5.0,2.0,0.4
3.0,1.0,cigarette,cigarette,970.0,5.0,3.0,0.6
3.0,1.0,cigarette,neutral,970.0,5.0,0.0,0.0
4.0,1.0,cigarette,alcohol,970.0,0.0,0.0,
4.0,1.0,cigarette,cigarette,970.0,0.0,0.0,
4.0,1.0,cigarette,neutral,970.0,0.0,0.0,
5.0,1.0,cigarette,alcohol,970.0,5.0,1.0,0.2
5.0,1.0,cigarette,cigarette,970.0,5.0,3.0,0.6
5.0,1.0,cigarette,neutral,970.0,5.0,1.0,0.2
6.0,1.0,cigarette,alcohol,970.0,23.0,6.0,0.260869565217
6.0,1.0,cigarette,cigarette,970.0,23.0,12.0,0.521739130435
6.0,1.0,cigarette,neutral,970.0,23.0,5.0,0.217391304348
7.0,1.0,cigarette,alcohol,970.0,1.0,0.0,0.0
7.0,1.0,cigarette,cigarette,970.0,1.0,1.0,1.0
7.0,1.0,cigarette,neutral,970.0,1.0,0.0,0.0
8.0,1.0,cigarette,alcohol,970.0,3.0,0.0,0.0
8.0,1.0,cigarette,cigarette,970.0,3.0,3.0,1.0
8.0,1.0,cigarette,neutral,970.0,3.0,0.0,0.0
9.0,1.0,cigarette,alcohol,970.0,2.0,1.0,0.5
9.0,1.0,cigarette,cigarette,970.0,2.0,0.0,0.0
9.0,1.0,cigarette,neutral,970.0,2.0,1.0,0.5
10.0,1.0,cigarette,alcohol,970.0,5.0,1.0,0.2
10.0,1.0,cigarette,cigarette,970.0,5.0,3.0,0.6
10.0,1.0,cigarette,neutral,970.0,5.0,1.0,0.2
11.0,1.0,cigarette,alcohol,970.0,6.0,0.0,0.0
11.0,1.0,cigarette,cigarette,970.0,6.0,6.0,1.0
11.0,1.0,cigarette,neutral,970.0,6.0,0.0,0.0
12.0,1.0,cigarette,alcohol,970.0,1.0,1.0,1.0
12.0,1.0,cigarette,cigarette,970.0,1.0,0.0,0.0
12.0,1.0,cigarette,neutral,970.0,1.0,0.0,0.0
13.0,1.0,cigarette,alcohol,970.0,14.0,5.0,0.357142857143
13.0,1.0,cigarette,cigarette,970.0,14.0,5.0,0.357142857143
13.0,1.0,cigarette,neutral,970.0,14.0,4.0,0.285714285714
14.0,1.0,cigarette,alcohol,970.0,8.0,3.0,0.375
14.0,1.0,cigarette,cigarette,970.0,8.0,4.0,0.5
14.0,1.0,cigarette,neutral,970.0,8.0,1.0,0.125
15.0,1.0,cigarette,alcohol,970.0,0.0,0.0,
15.0,1.0,cigarette,cigarette,970.0,0.0,0.0,
15.0,1.0,cigarette,neutral,970.0,0.0,0.0,
16.0,1.0,cigarette,alcohol,970.0,6.0,0.0,0.0
16.0,1.0,cigarette,cigarette,970.0,6.0,6.0,1.0
16.0,1.0,cigarette,neutral,970.0,6.0,0.0,0.0
17.0,1.0,cigarette,alcohol,970.0,5.0,0.0,0.0
17.0,1.0,cigarette,cigarette,970.0,5.0,4.0,0.8
17.0,1.0,cigarette,neutral,970.0,5.0,1.0,0.2
18.0,1.0,cigarette,alcohol,970.0,2.0,2.0,1.0
18.0,1.0,cigarette,cigarette,970.0,2.0,0.0,0.0
18.0,1.0,cigarette,neutral,970.0,2.0,0.0,0.0
19.0,1.0,cigarette,alcohol,970.0,3.0,1.0,0.333333333333
19.0,1.0,cigarette,cigarette,970.0,3.0,2.0,0.666666666667
19.0,1.0,cigarette,neutral,970.0,3.0,0.0,0.0
20.0,1.0,cigarette,alcohol,970.0,14.0,6.0,0.428571428571
20.0,1.0,cigarette,cigarette,970.0,14.0,7.0,0.5
20.0,1.0,cigarette,neutral,970.0,14.0,1.0,0.0714285714286
21.0,1.0,cigarette,alcohol,970.0,1.0,0.0,0.0
21.0,1.0,cigarette,cigarette,970.0,1.0,1.0,1.0
21.0,1.0,cigarette,neutral,970.0,1.0,0.0,0.0
22.0,1.0,cigarette,alcohol,970.0,4.0,1.0,0.25
22.0,1.0,cigarette,cigarette,970.0,4.0,2.0,0.5
22.0,1.0,cigarette,neutral,970.0,4.0,1.0,0.25
23.0,1.0,cigarette,alcohol,970.0,2.0,0.0,0.0
23.0,1.0,cigarette,cigarette,970.0,2.0,0.0,0.0
23.0,1.0,cigarette,neutral,970.0,2.0,2.0,1.0
24.0,1.0,cigarette,alcohol,970.0,3.0,2.0,0.666666666667
24.0,1.0,cigarette,cigarette,970.0,3.0,1.0,0.333333333333
24.0,1.0,cigarette,neutral,970.0,3.0,0.0,0.0
25.0,1.0,cigarette,alcohol,970.0,6.0,1.0,0.166666666667
25.0,1.0,cigarette,cigarette,970.0,6.0,4.0,0.666666666667
25.0,1.0,cigarette,neutral,970.0,6.0,1.0,0.166666666667
26.0,1.0,cigarette,alcohol,970.0,13.0,2.0,0.153846153846
26.0,1.0,cigarette,cigarette,970.0,13.0,7.0,0.538461538462
26.0,1.0,cigarette,neutral,970.0,13.0,4.0,0.307692307692
27.0,1.0,cigarette,alcohol,970.0,18.0,9.0,0.5
27.0,1.0,cigarette,cigarette,970.0,18.0,5.0,0.277777777778
27.0,1.0,cigarette,neutral,970.0,18.0,4.0,0.222222222222
28.0,1.0,cigarette,alcohol,970.0,7.0,3.0,0.428571428571
28.0,1.0,cigarette,cigarette,970.0,7.0,3.0,0.428571428571
28.0,1.0,cigarette,neutral,970.0,7.0,1.0,0.142857142857
29.0,1.0,cigarette,alcohol,970.0,36.0,20.0,0.555555555556
29.0,1.0,cigarette,cigarette,970.0,36.0,5.0,0.138888888889
29.0,1.0,cigarette,neutral,970.0,36.0,11.0,0.305555555556
1.0,1.0,alcohol,alcohol,970.0,3.0,2.0,0.666666666667
1.0,1.0,alcohol,cigarette,970.0,3.0,0.0,0.0
1.0,1.0,alcohol,neutral,970.0,3.0,1.0,0.333333333333
2.0,1.0,alcohol,alcohol,970.0,0.0,0.0,
2.0,1.0,alcohol,cigarette,970.0,0.0,0.0,
2.0,1.0,alcohol,neutral,970.0,0.0,0.0,
3.0,1.0,alcohol,alcohol,970.0,5.0,3.0,0.6
3.0,1.0,alcohol,cigarette,970.0,5.0,1.0,0.2
3.0,1.0,alcohol,neutral,970.0,5.0,1.0,0.2
4.0,1.0,alcohol,alcohol,970.0,0.0,0.0,
4.0,1.0,alcohol,cigarette,970.0,0.0,0.0,
4.0,1.0,alcohol,neutral,970.0,0.0,0.0,
5.0,1.0,alcohol,alcohol,970.0,5.0,3.0,0.6
5.0,1.0,alcohol,cigarette,970.0,5.0,1.0,0.2
5.0,1.0,alcohol,neutral,970.0,5.0,1.0,0.2
6.0,1.0,alcohol,alcohol,970.0,0.0,0.0,
6.0,1.0,alcohol,cigarette,970.0,0.0,0.0,
6.0,1.0,alcohol,neutral,970.0,0.0,0.0,
7.0,1.0,alcohol,alcohol,970.0,0.0,0.0,
7.0,1.0,alcohol,cigarette,970.0,0.0,0.0,
7.0,1.0,alcohol,neutral,970.0,0.0,0.0,
8.0,1.0,alcohol,alcohol,970.0,0.0,0.0,
8.0,1.0,alcohol,cigarette,970.0,0.0,0.0,
8.0,1.0,alcohol,neutral,970.0,0.0,0.0,
9.0,1.0,alcohol,alcohol,970.0,1.0,0.0,0.0
9.0,1.0,alcohol,cigarette,970.0,1.0,0.0,0.0
9.0,1.0,alcohol,neutral,970.0,1.0,1.0,1.0
10.0,1.0,alcohol,alcohol,970.0,1.0,1.0,1.0
10.0,1.0,alcohol,cigarette,970.0,1.0,0.0,0.0
10.0,1.0,alcohol,neutral,970.0,1.0,0.0,0.0
11.0,1.0,alcohol,alcohol,970.0,45.0,25.0,0.555555555556
11.0,1.0,alcohol,cigarette,970.0,45.0,16.0,0.355555555556
11.0,1.0,alcohol,neutral,970.0,45.0,4.0,0.0888888888889
12.0,1.0,alcohol,alcohol,970.0,7.0,6.0,0.857142857143
12.0,1.0,alcohol,cigarette,970.0,7.0,1.0,0.142857142857
12.0,1.0,alcohol,neutral,970.0,7.0,0.0,0.0
13.0,1.0,alcohol,alcohol,970.0,0.0,0.0,
13.0,1.0,alcohol,cigarette,970.0,0.0,0.0,
13.0,1.0,alcohol,neutral,970.0,0.0,0.0,
14.0,1.0,alcohol,alcohol,970.0,17.0,12.0,0.705882352941
