sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
1.0,2.0,alcohol,alcohol,454.0,1.0
1.0,2.0,alcohol,cigarette,454.0,0.0
1.0,2.0,alcohol,neutral,454.0,0.0
2.0,2.0,alcohol,alcohol,454.0,0.0
2.0,2.0,alcohol,cigarette,454.0,1.0
2.0,2.0,alcohol,neutral,454.0,0.0
3.0,2.0,alcohol,alcohol,454.0,0.714285714286
3.0,2.0,alcohol,cigarette,454.0,0.285714285714
3.0,2.0,alcohol,neutral,454.0,0.0
4.0,2.0,alcohol,alcohol,454.0,
4.0,2.0,alcohol,cigarette,454.0,
4.0,2.0,alcohol,neutral,454.0,
5.0,2.0,alcohol,alcohol,454.0,0.75
5.0,2.0,alcohol,cigarette,454.0,0.125
5.0,2.0,alcohol,neutral,454.0,0.125
6.0,2.0,alcohol,alcohol,454.0,
6.0,2.0,alcohol,cigarette,454.0,
6.0,2.0,alcohol,neutral,454.0,
7.0,2.0,alcohol,alcohol,454.0,
7.0,2.0,alcohol,cigarette,454.0,
7.0,2.0,alcohol,neutral,454.0,
8.0,2.0,alcohol,alcohol,454.0,0.909090909091
8.0,2.0,alcohol,cigarette,454.0,0.0
8.0,2.0,alcohol,neutral,454.0,0.0909090909091
9.0,2.0,alcohol,alcohol,454.0,0.75
9.0,2.0,alcohol,cigarette,454.0,0.0
9.0,2.0,alcohol,neutral,454.0,0.25
10.0,2.0,alcohol,alcohol,454.0,
10.0,2.0,alcohol,cigarette,454.0,
10.0,2.0,alcohol,neutral,454.0,
11.0,2.0,alcohol,alcohol,454.0,0.0
11.0,2.0,alcohol,cigarette,454.0,1.0
11.0,2.0,alcohol,neutral,454.0,0.0
12.0,2.0,alcohol,alcohol,454.0,
12.0,2.0,alcohol,cigarette,454.0,
12.0,2.0,alcohol,neutral,454.0,
13.0,2.0,alcohol,alcohol,454.0,
13.0,2.0,alcohol,cigarette,454.0,
13.0,2.0,alcohol,neutral,454.0,
14.0,2.0,alcohol,alcohol,454.0,0.444444444444
14.0,2.0,alcohol,cigarette,454.0,0.333333333333
14.0,2.0,alcohol,neutral,454.0,0.222222222222
15.0,2.0,alcohol,alcohol,454.0,
15.0,2.0,alcohol,cigarette,454.0,
15.0,2.0,alcohol,neutral,454.0,
16.0,2.0,alcohol,alcohol,454.0,1.0
16.0,2.0,alcohol,cigarette,454.0,0.0
16.0,2.0,alcohol,neutral,454.0,0.0
17.0,2.0,alcohol,alcohol,454.0,1.0
17.0,2.0,alcohol,cigarette,454.0,0.0
17.0,2.0,alcohol,neutral,454.0,0.0
18.0,2.0,alcohol,alcohol,454.0,
18.0,2.0,alcohol,cigarette,454.0,
18.0,2.0,alcohol,neutral,454.0,
19.0,2.0,alcohol,alcohol,454.0,
19.0,2.0,alcohol,cigarette,454.0,
19.0,2.0,alcohol,neutral,454.0,
20.0,2.0,alcohol,alcohol,454.0,0.75
20.0,2.0,alcohol,cigarette,454.0,0.0
20.0,2.0,alcohol,neutral,454.0,0.25
21.0,2.0,alcohol,alcohol,454.0,0.666666666667
21.0,2.0,alcohol,cigarette,454.0,0.111111111111
21.0,2.0,alcohol,neutral,454.0,0.222222222222
22.0,2.0,alcohol,alcohol,454.0,
22.0,2.0,alcohol,cigarette,454.0,
22.0,2.0,alcohol,neutral,454.0,
23.0,2.0,alcohol,alcohol,454.0,0.75
23.0,2.0,alcohol,cigarette,454.0,0.0
23.0,2.0,alcohol,neutral,454.0,0.25
24.0,2.0,alcohol,alcohol,454.0,1.0
24.0,2.0,alcohol,cigarette,454.0,0.0
24.0,2.0,alcohol,neutral,454.0,0.0
25.0,2.0,alcohol,alcohol,454.0,0.909090909091
25.0,2.0,alcohol,cigarette,454.0,0.0
25.0,2.0,alcohol,neutral,454.0,0.0909090909091
26.0,2.0,alcohol,alcohol,454.0,
26.0,2.0,alcohol,cigarette,454.0,
26.0,2.0,alcohol,neutral,454.0,
27.0,2.0,alcohol,alcohol,454.0,
27.0,2.0,alcohol,cigarette,454.0,
27.0,2.0,alcohol,neutral,454.0,
28.0,2.0,alcohol,alcohol,454.0,0.5
28.0,2.0,alcohol,cigarette,454.0,0.0
28.0,2.0,alcohol,neutral,454.0,0.5
29.0,2.0,alcohol,alcohol,454.0,0.928571428571
29.0,2.0,alcohol,cigarette,454.0,0.0
29.0,2.0,alcohol,neutral,454.0,0.0714285714286
1.0,2.0,cigarette,alcohol,454.0,0.0
1.0,2.0,cigarette,cigarette,454.0,0.666666666667
1.0,2.0,cigarette,neutral,454.0,0.333333333333
2.0,2.0,cigarette,alcohol,454.0,0.541666666667
2.0,2.0,cigarette,cigarette,454.0,0.291666666667
2.0,2.0,cigarette,neutral,454.0,0.166666666667
3.0,2.0,cigarette,alcohol,454.0,0.571428571429
3.0,2.0,cigarette,cigarette,454.0,0.214285714286
3.0,2.0,cigarette,neutral,454.0,0.214285714286
