sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,ALC,alcohol,681.0,0.0,0.0,
1.0,1.0,ALC,cigarette,681.0,0.0,0.0,
1.0,1.0,ALC,neutral,681.0,0.0,0.0,
2.0,1.0,ALC,alcohol,681.0,0.0,0.0,
2.0,1.0,ALC,cigarette,681.0,0.0,0.0,
2.0,1.0,ALC,neutral,681.0,0.0,0.0,
3.0,1.0,ALC,alcohol,681.0,0.0,0.0,
3.0,1.0,ALC,cigarette,681.0,0.0,0.0,
3.0,1.0,ALC,neutral,681.0,0.0,0.0,
4.0,1.0,ALC,alcohol,681.0,7.0,7.0,1.0
4.0,1.0,ALC,cigarette,681.0,7.0,0.0,0.0
4.0,1.0,ALC,neutral,681.0,7.0,0.0,0.0
5.0,1.0,ALC,alcohol,681.0,0.0,0.0,
5.0,1.0,ALC,cigarette,681.0,0.0,0.0,
5.0,1.0,ALC,neutral,681.0,0.0,0.0,
6.0,1.0,ALC,alcohol,681.0,0.0,0.0,
6.0,1.0,ALC,cigarette,681.0,0.0,0.0,
6.0,1.0,ALC,neutral,681.0,0.0,0.0,
7.0,1.0,ALC,alcohol,681.0,0.0,0.0,
7.0,1.0,ALC,cigarette,681.0,0.0,0.0,
7.0,1.0,ALC,neutral,681.0,0.0,0.0,
8.0,1.0,ALC,alcohol,681.0,0.0,0.0,
8.0,1.0,ALC,cigarette,681.0,0.0,0.0,
8.0,1.0,ALC,neutral,681.0,0.0,0.0,
9.0,1.0,ALC,alcohol,681.0,27.0,18.0,0.666666666667
9.0,1.0,ALC,cigarette,681.0,27.0,7.0,0.259259259259
9.0,1.0,ALC,neutral,681.0,27.0,2.0,0.0740740740741
10.0,1.0,ALC,alcohol,681.0,0.0,0.0,
10.0,1.0,ALC,cigarette,681.0,0.0,0.0,
10.0,1.0,ALC,neutral,681.0,0.0,0.0,
11.0,1.0,ALC,alcohol,681.0,0.0,0.0,
11.0,1.0,ALC,cigarette,681.0,0.0,0.0,
11.0,1.0,ALC,neutral,681.0,0.0,0.0,
12.0,1.0,ALC,alcohol,681.0,0.0,0.0,
12.0,1.0,ALC,cigarette,681.0,0.0,0.0,
12.0,1.0,ALC,neutral,681.0,0.0,0.0,
13.0,1.0,ALC,alcohol,681.0,0.0,0.0,
13.0,1.0,ALC,cigarette,681.0,0.0,0.0,
13.0,1.0,ALC,neutral,681.0,0.0,0.0,
14.0,1.0,ALC,alcohol,681.0,0.0,0.0,
14.0,1.0,ALC,cigarette,681.0,0.0,0.0,
14.0,1.0,ALC,neutral,681.0,0.0,0.0,
15.0,1.0,ALC,alcohol,681.0,0.0,0.0,
15.0,1.0,ALC,cigarette,681.0,0.0,0.0,
15.0,1.0,ALC,neutral,681.0,0.0,0.0,
16.0,1.0,ALC,alcohol,681.0,0.0,0.0,
16.0,1.0,ALC,cigarette,681.0,0.0,0.0,
16.0,1.0,ALC,neutral,681.0,0.0,0.0,
17.0,1.0,ALC,alcohol,681.0,0.0,0.0,
17.0,1.0,ALC,cigarette,681.0,0.0,0.0,
17.0,1.0,ALC,neutral,681.0,0.0,0.0,
18.0,1.0,ALC,alcohol,681.0,0.0,0.0,
18.0,1.0,ALC,cigarette,681.0,0.0,0.0,
18.0,1.0,ALC,neutral,681.0,0.0,0.0,
19.0,1.0,ALC,alcohol,681.0,0.0,0.0,
19.0,1.0,ALC,cigarette,681.0,0.0,0.0,
19.0,1.0,ALC,neutral,681.0,0.0,0.0,
20.0,1.0,ALC,alcohol,681.0,0.0,0.0,
20.0,1.0,ALC,cigarette,681.0,0.0,0.0,
20.0,1.0,ALC,neutral,681.0,0.0,0.0,
21.0,1.0,ALC,alcohol,681.0,6.0,2.0,0.333333333333
21.0,1.0,ALC,cigarette,681.0,6.0,3.0,0.5
21.0,1.0,ALC,neutral,681.0,6.0,1.0,0.166666666667
22.0,1.0,ALC,alcohol,681.0,0.0,0.0,
22.0,1.0,ALC,cigarette,681.0,0.0,0.0,
22.0,1.0,ALC,neutral,681.0,0.0,0.0,
23.0,1.0,ALC,alcohol,681.0,0.0,0.0,
23.0,1.0,ALC,cigarette,681.0,0.0,0.0,
23.0,1.0,ALC,neutral,681.0,0.0,0.0,
