sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
15.0,1.0,alcohol,alcohol,783.0,
15.0,1.0,alcohol,cigarette,783.0,
15.0,1.0,alcohol,neutral,783.0,
16.0,1.0,alcohol,alcohol,783.0,0.666666666667
16.0,1.0,alcohol,cigarette,783.0,0.333333333333
16.0,1.0,alcohol,neutral,783.0,0.0
17.0,1.0,alcohol,alcohol,783.0,0.333333333333
17.0,1.0,alcohol,cigarette,783.0,0.333333333333
17.0,1.0,alcohol,neutral,783.0,0.333333333333
18.0,1.0,alcohol,alcohol,783.0,0.5
18.0,1.0,alcohol,cigarette,783.0,0.0
18.0,1.0,alcohol,neutral,783.0,0.5
19.0,1.0,alcohol,alcohol,783.0,0.3
19.0,1.0,alcohol,cigarette,783.0,0.2
19.0,1.0,alcohol,neutral,783.0,0.5
20.0,1.0,alcohol,alcohol,783.0,0.64
20.0,1.0,alcohol,cigarette,783.0,0.24
20.0,1.0,alcohol,neutral,783.0,0.12
21.0,1.0,alcohol,alcohol,783.0,0.571428571429
21.0,1.0,alcohol,cigarette,783.0,0.0
21.0,1.0,alcohol,neutral,783.0,0.428571428571
22.0,1.0,alcohol,alcohol,783.0,0.5
22.0,1.0,alcohol,cigarette,783.0,0.166666666667
22.0,1.0,alcohol,neutral,783.0,0.333333333333
23.0,1.0,alcohol,alcohol,783.0,0.75
23.0,1.0,alcohol,cigarette,783.0,0.0
23.0,1.0,alcohol,neutral,783.0,0.25
24.0,1.0,alcohol,alcohol,783.0,0.333333333333
24.0,1.0,alcohol,cigarette,783.0,0.333333333333
24.0,1.0,alcohol,neutral,783.0,0.333333333333
25.0,1.0,alcohol,alcohol,783.0,0.0434782608696
25.0,1.0,alcohol,cigarette,783.0,0.521739130435
25.0,1.0,alcohol,neutral,783.0,0.434782608696
26.0,1.0,alcohol,alcohol,783.0,0.0
26.0,1.0,alcohol,cigarette,783.0,1.0
26.0,1.0,alcohol,neutral,783.0,0.0
27.0,1.0,alcohol,alcohol,783.0,
27.0,1.0,alcohol,cigarette,783.0,
27.0,1.0,alcohol,neutral,783.0,
28.0,1.0,alcohol,alcohol,783.0,0.538461538462
28.0,1.0,alcohol,cigarette,783.0,0.384615384615
28.0,1.0,alcohol,neutral,783.0,0.0769230769231
29.0,1.0,alcohol,alcohol,783.0,0.333333333333
29.0,1.0,alcohol,cigarette,783.0,0.583333333333
29.0,1.0,alcohol,neutral,783.0,0.0833333333333
1.0,1.0,cigarette,alcohol,783.0,0.5
1.0,1.0,cigarette,cigarette,783.0,0.25
1.0,1.0,cigarette,neutral,783.0,0.25
2.0,1.0,cigarette,alcohol,783.0,1.0
2.0,1.0,cigarette,cigarette,783.0,0.0
2.0,1.0,cigarette,neutral,783.0,0.0
3.0,1.0,cigarette,alcohol,783.0,0.545454545455
3.0,1.0,cigarette,cigarette,783.0,0.272727272727
3.0,1.0,cigarette,neutral,783.0,0.181818181818
4.0,1.0,cigarette,alcohol,783.0,
4.0,1.0,cigarette,cigarette,783.0,
4.0,1.0,cigarette,neutral,783.0,
5.0,1.0,cigarette,alcohol,783.0,0.368421052632
5.0,1.0,cigarette,cigarette,783.0,0.263157894737
5.0,1.0,cigarette,neutral,783.0,0.368421052632
6.0,1.0,cigarette,alcohol,783.0,0.285714285714
6.0,1.0,cigarette,cigarette,783.0,0.47619047619
6.0,1.0,cigarette,neutral,783.0,0.238095238095
7.0,1.0,cigarette,alcohol,783.0,0.25
7.0,1.0,cigarette,cigarette,783.0,0.75
7.0,1.0,cigarette,neutral,783.0,0.0
8.0,1.0,cigarette,alcohol,783.0,0.111111111111
8.0,1.0,cigarette,cigarette,783.0,0.555555555556
8.0,1.0,cigarette,neutral,783.0,0.333333333333
9.0,1.0,cigarette,alcohol,783.0,0.25
9.0,1.0,cigarette,cigarette,783.0,0.5
9.0,1.0,cigarette,neutral,783.0,0.25
10.0,1.0,cigarette,alcohol,783.0,0.363636363636
10.0,1.0,cigarette,cigarette,783.0,0.545454545455
10.0,1.0,cigarette,neutral,783.0,0.0909090909091
11.0,1.0,cigarette,alcohol,783.0,0.111111111111
11.0,1.0,cigarette,cigarette,783.0,0.444444444444
11.0,1.0,cigarette,neutral,783.0,0.444444444444
12.0,1.0,cigarette,alcohol,783.0,0.0
12.0,1.0,cigarette,cigarette,783.0,0.666666666667
12.0,1.0,cigarette,neutral,783.0,0.333333333333
13.0,1.0,cigarette,alcohol,783.0,0.346153846154
13.0,1.0,cigarette,cigarette,783.0,0.346153846154
13.0,1.0,cigarette,neutral,783.0,0.307692307692
14.0,1.0,cigarette,alcohol,783.0,0.217391304348
14.0,1.0,cigarette,cigarette,783.0,0.391304347826
14.0,1.0,cigarette,neutral,783.0,0.391304347826
15.0,1.0,cigarette,alcohol,783.0,0.2
15.0,1.0,cigarette,cigarette,783.0,0.4
15.0,1.0,cigarette,neutral,783.0,0.4
16.0,1.0,cigarette,alcohol,783.0,0.222222222222
16.0,1.0,cigarette,cigarette,783.0,0.666666666667
16.0,1.0,cigarette,neutral,783.0,0.111111111111
17.0,1.0,cigarette,alcohol,783.0,0.333333333333
17.0,1.0,cigarette,cigarette,783.0,0.333333333333
17.0,1.0,cigarette,neutral,783.0,0.333333333333
18.0,1.0,cigarette,alcohol,783.0,0.538461538462
18.0,1.0,cigarette,cigarette,783.0,0.230769230769
18.0,1.0,cigarette,neutral,783.0,0.230769230769
19.0,1.0,cigarette,alcohol,783.0,0.285714285714
19.0,1.0,cigarette,cigarette,783.0,0.714285714286
19.0,1.0,cigarette,neutral,783.0,0.0
20.0,1.0,cigarette,alcohol,783.0,0.35
20.0,1.0,cigarette,cigarette,783.0,0.45
20.0,1.0,cigarette,neutral,783.0,0.2
21.0,1.0,cigarette,alcohol,783.0,0.333333333333
21.0,1.0,cigarette,cigarette,783.0,0.333333333333
21.0,1.0,cigarette,neutral,783.0,0.333333333333
22.0,1.0,cigarette,alcohol,783.0,0.25
22.0,1.0,cigarette,cigarette,783.0,0.25
22.0,1.0,cigarette,neutral,783.0,0.5
23.0,1.0,cigarette,alcohol,783.0,0.142857142857
23.0,1.0,cigarette,cigarette,783.0,0.571428571429
23.0,1.0,cigarette,neutral,783.0,0.285714285714
24.0,1.0,cigarette,alcohol,783.0,0.333333333333
24.0,1.0,cigarette,cigarette,783.0,0.52380952381
24.0,1.0,cigarette,neutral,783.0,0.142857142857
25.0,1.0,cigarette,alcohol,783.0,0.363636363636
25.0,1.0,cigarette,cigarette,783.0,0.363636363636
25.0,1.0,cigarette,neutral,783.0,0.272727272727
26.0,1.0,cigarette,alcohol,783.0,0.210526315789
26.0,1.0,cigarette,cigarette,783.0,0.315789473684
26.0,1.0,cigarette,neutral,783.0,0.473684210526
27.0,1.0,cigarette,alcohol,783.0,0.136363636364
27.0,1.0,cigarette,cigarette,783.0,0.363636363636
27.0,1.0,cigarette,neutral,783.0,0.5
28.0,1.0,cigarette,alcohol,783.0,0.444444444444
28.0,1.0,cigarette,cigarette,783.0,0.444444444444
28.0,1.0,cigarette,neutral,783.0,0.111111111111
29.0,1.0,cigarette,alcohol,783.0,0.297872340426
29.0,1.0,cigarette,cigarette,783.0,0.553191489362
29.0,1.0,cigarette,neutral,783.0,0.148936170213
1.0,1.0,neutral,alcohol,783.0,
1.0,1.0,neutral,cigarette,783.0,
1.0,1.0,neutral,neutral,783.0,
2.0,1.0,neutral,alcohol,783.0,
2.0,1.0,neutral,cigarette,783.0,
2.0,1.0,neutral,neutral,783.0,
3.0,1.0,neutral,alcohol,783.0,
3.0,1.0,neutral,cigarette,783.0,
3.0,1.0,neutral,neutral,783.0,
4.0,1.0,neutral,alcohol,783.0,
4.0,1.0,neutral,cigarette,783.0,
4.0,1.0,neutral,neutral,783.0,
5.0,1.0,neutral,alcohol,783.0,1.0
5.0,1.0,neutral,cigarette,783.0,0.0
5.0,1.0,neutral,neutral,783.0,0.0
6.0,1.0,neutral,alcohol,783.0,0.0
6.0,1.0,neutral,cigarette,783.0,1.0
6.0,1.0,neutral,neutral,783.0,0.0
7.0,1.0,neutral,alcohol,783.0,
7.0,1.0,neutral,cigarette,783.0,
7.0,1.0,neutral,neutral,783.0,
8.0,1.0,neutral,alcohol,783.0,0.0
8.0,1.0,neutral,cigarette,783.0,0.0
8.0,1.0,neutral,neutral,783.0,1.0
9.0,1.0,neutral,alcohol,783.0,0.0
9.0,1.0,neutral,cigarette,783.0,0.5
9.0,1.0,neutral,neutral,783.0,0.5
10.0,1.0,neutral,alcohol,783.0,
10.0,1.0,neutral,cigarette,783.0,
10.0,1.0,neutral,neutral,783.0,
11.0,1.0,neutral,alcohol,783.0,
11.0,1.0,neutral,cigarette,783.0,
11.0,1.0,neutral,neutral,783.0,
12.0,1.0,neutral,alcohol,783.0,
12.0,1.0,neutral,cigarette,783.0,
12.0,1.0,neutral,neutral,783.0,
13.0,1.0,neutral,alcohol,783.0,0.217391304348
13.0,1.0,neutral,cigarette,783.0,0.260869565217
13.0,1.0,neutral,neutral,783.0,0.521739130435
14.0,1.0,neutral,alcohol,783.0,
14.0,1.0,neutral,cigarette,783.0,
14.0,1.0,neutral,neutral,783.0,
15.0,1.0,neutral,alcohol,783.0,
15.0,1.0,neutral,cigarette,783.0,
15.0,1.0,neutral,neutral,783.0,
16.0,1.0,neutral,alcohol,783.0,0.333333333333
16.0,1.0,neutral,cigarette,783.0,0.333333333333
16.0,1.0,neutral,neutral,783.0,0.333333333333
17.0,1.0,neutral,alcohol,783.0,0.666666666667
17.0,1.0,neutral,cigarette,783.0,0.333333333333
17.0,1.0,neutral,neutral,783.0,0.0
18.0,1.0,neutral,alcohol,783.0,
18.0,1.0,neutral,cigarette,783.0,
18.0,1.0,neutral,neutral,783.0,
19.0,1.0,neutral,alcohol,783.0,0.0
19.0,1.0,neutral,cigarette,783.0,0.0
19.0,1.0,neutral,neutral,783.0,1.0
20.0,1.0,neutral,alcohol,783.0,0.0
20.0,1.0,neutral,cigarette,783.0,0.666666666667
20.0,1.0,neutral,neutral,783.0,0.333333333333
21.0,1.0,neutral,alcohol,783.0,
21.0,1.0,neutral,cigarette,783.0,
21.0,1.0,neutral,neutral,783.0,
22.0,1.0,neutral,alcohol,783.0,
22.0,1.0,neutral,cigarette,783.0,
22.0,1.0,neutral,neutral,783.0,
23.0,1.0,neutral,alcohol,783.0,1.0
23.0,1.0,neutral,cigarette,783.0,0.0
23.0,1.0,neutral,neutral,783.0,0.0
24.0,1.0,neutral,alcohol,783.0,0.333333333333
24.0,1.0,neutral,cigarette,783.0,0.333333333333
24.0,1.0,neutral,neutral,783.0,0.333333333333
25.0,1.0,neutral,alcohol,783.0,0.0
25.0,1.0,neutral,cigarette,783.0,0.333333333333
25.0,1.0,neutral,neutral,783.0,0.666666666667
26.0,1.0,neutral,alcohol,783.0,0.0
26.0,1.0,neutral,cigarette,783.0,0.25
26.0,1.0,neutral,neutral,783.0,0.75
27.0,1.0,neutral,alcohol,783.0,0.321428571429
27.0,1.0,neutral,cigarette,783.0,0.5
27.0,1.0,neutral,neutral,783.0,0.178571428571
28.0,1.0,neutral,alcohol,783.0,0.5
28.0,1.0,neutral,cigarette,783.0,0.0
28.0,1.0,neutral,neutral,783.0,0.5
29.0,1.0,neutral,alcohol,783.0,
29.0,1.0,neutral,cigarette,783.0,
29.0,1.0,neutral,neutral,783.0,
