sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,1072.0,2.0,0.5
1.0,1.0,cigarette,cigarette,1072.0,2.0,0.0
1.0,1.0,cigarette,neutral,1072.0,2.0,0.5
2.0,1.0,cigarette,alcohol,1072.0,1.0,1.0
2.0,1.0,cigarette,cigarette,1072.0,1.0,0.0
2.0,1.0,cigarette,neutral,1072.0,1.0,0.0
3.0,1.0,cigarette,alcohol,1072.0,5.0,0.0
3.0,1.0,cigarette,cigarette,1072.0,5.0,1.0
3.0,1.0,cigarette,neutral,1072.0,5.0,0.0
4.0,1.0,cigarette,alcohol,1072.0,0.0,
4.0,1.0,cigarette,cigarette,1072.0,0.0,
4.0,1.0,cigarette,neutral,1072.0,0.0,
5.0,1.0,cigarette,alcohol,1072.0,14.0,0.214285714286
5.0,1.0,cigarette,cigarette,1072.0,14.0,0.5
5.0,1.0,cigarette,neutral,1072.0,14.0,0.285714285714
6.0,1.0,cigarette,alcohol,1072.0,32.0,0.46875
6.0,1.0,cigarette,cigarette,1072.0,32.0,0.25
6.0,1.0,cigarette,neutral,1072.0,32.0,0.28125
7.0,1.0,cigarette,alcohol,1072.0,5.0,0.0
7.0,1.0,cigarette,cigarette,1072.0,5.0,0.6
7.0,1.0,cigarette,neutral,1072.0,5.0,0.4
8.0,1.0,cigarette,alcohol,1072.0,2.0,0.5
8.0,1.0,cigarette,cigarette,1072.0,2.0,0.5
8.0,1.0,cigarette,neutral,1072.0,2.0,0.0
9.0,1.0,cigarette,alcohol,1072.0,2.0,1.0
9.0,1.0,cigarette,cigarette,1072.0,2.0,0.0
9.0,1.0,cigarette,neutral,1072.0,2.0,0.0
10.0,1.0,cigarette,alcohol,1072.0,3.0,0.0
10.0,1.0,cigarette,cigarette,1072.0,3.0,0.666666666667
10.0,1.0,cigarette,neutral,1072.0,3.0,0.333333333333
11.0,1.0,cigarette,alcohol,1072.0,6.0,0.166666666667
11.0,1.0,cigarette,cigarette,1072.0,6.0,0.666666666667
11.0,1.0,cigarette,neutral,1072.0,6.0,0.166666666667
12.0,1.0,cigarette,alcohol,1072.0,2.0,0.5
12.0,1.0,cigarette,cigarette,1072.0,2.0,0.5
12.0,1.0,cigarette,neutral,1072.0,2.0,0.0
13.0,1.0,cigarette,alcohol,1072.0,16.0,0.125
13.0,1.0,cigarette,cigarette,1072.0,16.0,0.4375
13.0,1.0,cigarette,neutral,1072.0,16.0,0.4375
14.0,1.0,cigarette,alcohol,1072.0,6.0,0.666666666667
14.0,1.0,cigarette,cigarette,1072.0,6.0,0.166666666667
14.0,1.0,cigarette,neutral,1072.0,6.0,0.166666666667
15.0,1.0,cigarette,alcohol,1072.0,6.0,0.166666666667
15.0,1.0,cigarette,cigarette,1072.0,6.0,0.5
15.0,1.0,cigarette,neutral,1072.0,6.0,0.333333333333
16.0,1.0,cigarette,alcohol,1072.0,6.0,0.333333333333
16.0,1.0,cigarette,cigarette,1072.0,6.0,0.5
16.0,1.0,cigarette,neutral,1072.0,6.0,0.166666666667
17.0,1.0,cigarette,alcohol,1072.0,6.0,0.166666666667
17.0,1.0,cigarette,cigarette,1072.0,6.0,0.5
17.0,1.0,cigarette,neutral,1072.0,6.0,0.333333333333
18.0,1.0,cigarette,alcohol,1072.0,7.0,0.714285714286
18.0,1.0,cigarette,cigarette,1072.0,7.0,0.285714285714
18.0,1.0,cigarette,neutral,1072.0,7.0,0.0
19.0,1.0,cigarette,alcohol,1072.0,3.0,0.0
19.0,1.0,cigarette,cigarette,1072.0,3.0,0.333333333333
19.0,1.0,cigarette,neutral,1072.0,3.0,0.666666666667
20.0,1.0,cigarette,alcohol,1072.0,14.0,0.0714285714286
20.0,1.0,cigarette,cigarette,1072.0,14.0,0.5
20.0,1.0,cigarette,neutral,1072.0,14.0,0.428571428571
21.0,1.0,cigarette,alcohol,1072.0,3.0,0.0
21.0,1.0,cigarette,cigarette,1072.0,3.0,0.0
21.0,1.0,cigarette,neutral,1072.0,3.0,1.0
22.0,1.0,cigarette,alcohol,1072.0,3.0,0.333333333333
22.0,1.0,cigarette,cigarette,1072.0,3.0,0.333333333333
22.0,1.0,cigarette,neutral,1072.0,3.0,0.333333333333
23.0,1.0,cigarette,alcohol,1072.0,0.0,
23.0,1.0,cigarette,cigarette,1072.0,0.0,
23.0,1.0,cigarette,neutral,1072.0,0.0,
24.0,1.0,cigarette,alcohol,1072.0,13.0,0.307692307692
24.0,1.0,cigarette,cigarette,1072.0,13.0,0.461538461538
24.0,1.0,cigarette,neutral,1072.0,13.0,0.230769230769
25.0,1.0,cigarette,alcohol,1072.0,7.0,0.571428571429
25.0,1.0,cigarette,cigarette,1072.0,7.0,0.428571428571
25.0,1.0,cigarette,neutral,1072.0,7.0,0.0
26.0,1.0,cigarette,alcohol,1072.0,12.0,0.25
26.0,1.0,cigarette,cigarette,1072.0,12.0,0.5
26.0,1.0,cigarette,neutral,1072.0,12.0,0.25
27.0,1.0,cigarette,alcohol,1072.0,18.0,0.111111111111
27.0,1.0,cigarette,cigarette,1072.0,18.0,0.333333333333
27.0,1.0,cigarette,neutral,1072.0,18.0,0.555555555556
28.0,1.0,cigarette,alcohol,1072.0,7.0,0.428571428571
28.0,1.0,cigarette,cigarette,1072.0,7.0,0.571428571429
28.0,1.0,cigarette,neutral,1072.0,7.0,0.0
29.0,1.0,cigarette,alcohol,1072.0,48.0,0.333333333333
29.0,1.0,cigarette,cigarette,1072.0,48.0,0.5
29.0,1.0,cigarette,neutral,1072.0,48.0,0.166666666667
1.0,1.0,alcohol,alcohol,1072.0,5.0,0.4
1.0,1.0,alcohol,cigarette,1072.0,5.0,0.2
1.0,1.0,alcohol,neutral,1072.0,5.0,0.4
2.0,1.0,alcohol,alcohol,1072.0,3.0,0.333333333333
2.0,1.0,alcohol,cigarette,1072.0,3.0,0.333333333333
2.0,1.0,alcohol,neutral,1072.0,3.0,0.333333333333
3.0,1.0,alcohol,alcohol,1072.0,5.0,0.4
3.0,1.0,alcohol,cigarette,1072.0,5.0,0.4
3.0,1.0,alcohol,neutral,1072.0,5.0,0.2
4.0,1.0,alcohol,alcohol,1072.0,0.0,
4.0,1.0,alcohol,cigarette,1072.0,0.0,
4.0,1.0,alcohol,neutral,1072.0,0.0,
5.0,1.0,alcohol,alcohol,1072.0,14.0,0.285714285714
5.0,1.0,alcohol,cigarette,1072.0,14.0,0.571428571429
5.0,1.0,alcohol,neutral,1072.0,14.0,0.142857142857
6.0,1.0,alcohol,alcohol,1072.0,0.0,
6.0,1.0,alcohol,cigarette,1072.0,0.0,
6.0,1.0,alcohol,neutral,1072.0,0.0,
7.0,1.0,alcohol,alcohol,1072.0,0.0,
