sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
1.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
1.0,3.0,alcohol,neutral,184.0,0.0,0.0,
2.0,3.0,alcohol,alcohol,184.0,4.0,1.0,0.25
2.0,3.0,alcohol,cigarette,184.0,4.0,0.0,0.0
2.0,3.0,alcohol,neutral,184.0,4.0,3.0,0.75
3.0,3.0,alcohol,alcohol,184.0,18.0,5.0,0.277777777778
3.0,3.0,alcohol,cigarette,184.0,18.0,8.0,0.444444444444
3.0,3.0,alcohol,neutral,184.0,18.0,5.0,0.277777777778
4.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
4.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
4.0,3.0,alcohol,neutral,184.0,0.0,0.0,
5.0,3.0,alcohol,alcohol,184.0,2.0,0.0,0.0
5.0,3.0,alcohol,cigarette,184.0,2.0,1.0,0.5
5.0,3.0,alcohol,neutral,184.0,2.0,1.0,0.5
6.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
6.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
6.0,3.0,alcohol,neutral,184.0,0.0,0.0,
7.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
7.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
7.0,3.0,alcohol,neutral,184.0,0.0,0.0,
8.0,3.0,alcohol,alcohol,184.0,1.0,0.0,0.0
8.0,3.0,alcohol,cigarette,184.0,1.0,0.0,0.0
8.0,3.0,alcohol,neutral,184.0,1.0,1.0,1.0
9.0,3.0,alcohol,alcohol,184.0,5.0,0.0,0.0
9.0,3.0,alcohol,cigarette,184.0,5.0,3.0,0.6
9.0,3.0,alcohol,neutral,184.0,5.0,2.0,0.4
10.0,3.0,alcohol,alcohol,184.0,5.0,2.0,0.4
10.0,3.0,alcohol,cigarette,184.0,5.0,3.0,0.6
10.0,3.0,alcohol,neutral,184.0,5.0,0.0,0.0
11.0,3.0,alcohol,alcohol,184.0,8.0,3.0,0.375
11.0,3.0,alcohol,cigarette,184.0,8.0,1.0,0.125
11.0,3.0,alcohol,neutral,184.0,8.0,4.0,0.5
12.0,3.0,alcohol,alcohol,184.0,1.0,1.0,1.0
12.0,3.0,alcohol,cigarette,184.0,1.0,0.0,0.0
12.0,3.0,alcohol,neutral,184.0,1.0,0.0,0.0
13.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
13.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
13.0,3.0,alcohol,neutral,184.0,0.0,0.0,
14.0,3.0,alcohol,alcohol,184.0,8.0,2.0,0.25
14.0,3.0,alcohol,cigarette,184.0,8.0,4.0,0.5
14.0,3.0,alcohol,neutral,184.0,8.0,2.0,0.25
15.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
15.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
15.0,3.0,alcohol,neutral,184.0,0.0,0.0,
16.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
16.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
16.0,3.0,alcohol,neutral,184.0,0.0,0.0,
17.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
17.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
17.0,3.0,alcohol,neutral,184.0,0.0,0.0,
18.0,3.0,alcohol,alcohol,184.0,4.0,2.0,0.5
18.0,3.0,alcohol,cigarette,184.0,4.0,1.0,0.25
18.0,3.0,alcohol,neutral,184.0,4.0,1.0,0.25
19.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
19.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
19.0,3.0,alcohol,neutral,184.0,0.0,0.0,
20.0,3.0,alcohol,alcohol,184.0,6.0,2.0,0.333333333333
20.0,3.0,alcohol,cigarette,184.0,6.0,2.0,0.333333333333
20.0,3.0,alcohol,neutral,184.0,6.0,2.0,0.333333333333
21.0,3.0,alcohol,alcohol,184.0,2.0,2.0,1.0
21.0,3.0,alcohol,cigarette,184.0,2.0,0.0,0.0
21.0,3.0,alcohol,neutral,184.0,2.0,0.0,0.0
22.0,3.0,alcohol,alcohol,184.0,1.0,1.0,1.0
22.0,3.0,alcohol,cigarette,184.0,1.0,0.0,0.0
22.0,3.0,alcohol,neutral,184.0,1.0,0.0,0.0
23.0,3.0,alcohol,alcohol,184.0,5.0,1.0,0.2
23.0,3.0,alcohol,cigarette,184.0,5.0,3.0,0.6
23.0,3.0,alcohol,neutral,184.0,5.0,1.0,0.2
24.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
24.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
24.0,3.0,alcohol,neutral,184.0,0.0,0.0,
25.0,3.0,alcohol,alcohol,184.0,7.0,1.0,0.142857142857
25.0,3.0,alcohol,cigarette,184.0,7.0,4.0,0.571428571429
25.0,3.0,alcohol,neutral,184.0,7.0,2.0,0.285714285714
26.0,3.0,alcohol,alcohol,184.0,0.0,0.0,
26.0,3.0,alcohol,cigarette,184.0,0.0,0.0,
