sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
1.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
1.0,4.0,cigarette,neutral,46.0,0.0,0.0,
2.0,4.0,cigarette,alcohol,46.0,6.0,1.0,0.166666666667
2.0,4.0,cigarette,cigarette,46.0,6.0,2.0,0.333333333333
2.0,4.0,cigarette,neutral,46.0,6.0,3.0,0.5
3.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
3.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
3.0,4.0,cigarette,neutral,46.0,0.0,0.0,
4.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
4.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
4.0,4.0,cigarette,neutral,46.0,0.0,0.0,
5.0,4.0,cigarette,alcohol,46.0,4.0,1.0,0.25
5.0,4.0,cigarette,cigarette,46.0,4.0,2.0,0.5
5.0,4.0,cigarette,neutral,46.0,4.0,1.0,0.25
6.0,4.0,cigarette,alcohol,46.0,14.0,2.0,0.142857142857
6.0,4.0,cigarette,cigarette,46.0,14.0,11.0,0.785714285714
6.0,4.0,cigarette,neutral,46.0,14.0,1.0,0.0714285714286
7.0,4.0,cigarette,alcohol,46.0,6.0,2.0,0.333333333333
7.0,4.0,cigarette,cigarette,46.0,6.0,4.0,0.666666666667
7.0,4.0,cigarette,neutral,46.0,6.0,0.0,0.0
8.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
8.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
8.0,4.0,cigarette,neutral,46.0,0.0,0.0,
9.0,4.0,cigarette,alcohol,46.0,2.0,0.0,0.0
9.0,4.0,cigarette,cigarette,46.0,2.0,0.0,0.0
9.0,4.0,cigarette,neutral,46.0,2.0,2.0,1.0
10.0,4.0,cigarette,alcohol,46.0,2.0,0.0,0.0
10.0,4.0,cigarette,cigarette,46.0,2.0,1.0,0.5
10.0,4.0,cigarette,neutral,46.0,2.0,1.0,0.5
11.0,4.0,cigarette,alcohol,46.0,17.0,3.0,0.176470588235
11.0,4.0,cigarette,cigarette,46.0,17.0,10.0,0.588235294118
11.0,4.0,cigarette,neutral,46.0,17.0,4.0,0.235294117647
12.0,4.0,cigarette,alcohol,46.0,1.0,0.0,0.0
12.0,4.0,cigarette,cigarette,46.0,1.0,0.0,0.0
12.0,4.0,cigarette,neutral,46.0,1.0,1.0,1.0
13.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
13.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
13.0,4.0,cigarette,neutral,46.0,0.0,0.0,
14.0,4.0,cigarette,alcohol,46.0,1.0,0.0,0.0
14.0,4.0,cigarette,cigarette,46.0,1.0,1.0,1.0
14.0,4.0,cigarette,neutral,46.0,1.0,0.0,0.0
15.0,4.0,cigarette,alcohol,46.0,2.0,0.0,0.0
15.0,4.0,cigarette,cigarette,46.0,2.0,2.0,1.0
15.0,4.0,cigarette,neutral,46.0,2.0,0.0,0.0
16.0,4.0,cigarette,alcohol,46.0,2.0,0.0,0.0
16.0,4.0,cigarette,cigarette,46.0,2.0,2.0,1.0
16.0,4.0,cigarette,neutral,46.0,2.0,0.0,0.0
17.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
17.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
17.0,4.0,cigarette,neutral,46.0,0.0,0.0,
18.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
18.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
18.0,4.0,cigarette,neutral,46.0,0.0,0.0,
19.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
19.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
19.0,4.0,cigarette,neutral,46.0,0.0,0.0,
20.0,4.0,cigarette,alcohol,46.0,6.0,0.0,0.0
20.0,4.0,cigarette,cigarette,46.0,6.0,6.0,1.0
20.0,4.0,cigarette,neutral,46.0,6.0,0.0,0.0
21.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
21.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
21.0,4.0,cigarette,neutral,46.0,0.0,0.0,
22.0,4.0,cigarette,alcohol,46.0,5.0,0.0,0.0
22.0,4.0,cigarette,cigarette,46.0,5.0,5.0,1.0
22.0,4.0,cigarette,neutral,46.0,5.0,0.0,0.0
23.0,4.0,cigarette,alcohol,46.0,2.0,0.0,0.0
23.0,4.0,cigarette,cigarette,46.0,2.0,1.0,0.5
23.0,4.0,cigarette,neutral,46.0,2.0,1.0,0.5
24.0,4.0,cigarette,alcohol,46.0,1.0,0.0,0.0
24.0,4.0,cigarette,cigarette,46.0,1.0,0.0,0.0
24.0,4.0,cigarette,neutral,46.0,1.0,1.0,1.0
25.0,4.0,cigarette,alcohol,46.0,0.0,0.0,
25.0,4.0,cigarette,cigarette,46.0,0.0,0.0,
25.0,4.0,cigarette,neutral,46.0,0.0,0.0,
26.0,4.0,cigarette,alcohol,46.0,1.0,0.0,0.0
26.0,4.0,cigarette,cigarette,46.0,1.0,1.0,1.0
26.0,4.0,cigarette,neutral,46.0,1.0,0.0,0.0
27.0,4.0,cigarette,alcohol,46.0,14.0,9.0,0.642857142857
27.0,4.0,cigarette,cigarette,46.0,14.0,1.0,0.0714285714286
27.0,4.0,cigarette,neutral,46.0,14.0,4.0,0.285714285714
28.0,4.0,cigarette,alcohol,46.0,4.0,1.0,0.25
28.0,4.0,cigarette,cigarette,46.0,4.0,2.0,0.5
28.0,4.0,cigarette,neutral,46.0,4.0,1.0,0.25
29.0,4.0,cigarette,alcohol,46.0,5.0,0.0,0.0
29.0,4.0,cigarette,cigarette,46.0,5.0,4.0,0.8
29.0,4.0,cigarette,neutral,46.0,5.0,1.0,0.2
1.0,4.0,alcohol,alcohol,46.0,0.0,0.0,
1.0,4.0,alcohol,cigarette,46.0,0.0,0.0,
1.0,4.0,alcohol,neutral,46.0,0.0,0.0,
2.0,4.0,alcohol,alcohol,46.0,1.0,1.0,1.0
2.0,4.0,alcohol,cigarette,46.0,1.0,0.0,0.0
2.0,4.0,alcohol,neutral,46.0,1.0,0.0,0.0
3.0,4.0,alcohol,alcohol,46.0,7.0,4.0,0.571428571429
3.0,4.0,alcohol,cigarette,46.0,7.0,0.0,0.0
3.0,4.0,alcohol,neutral,46.0,7.0,3.0,0.428571428571
4.0,4.0,alcohol,alcohol,46.0,0.0,0.0,
4.0,4.0,alcohol,cigarette,46.0,0.0,0.0,
4.0,4.0,alcohol,neutral,46.0,0.0,0.0,
5.0,4.0,alcohol,alcohol,46.0,2.0,0.0,0.0
5.0,4.0,alcohol,cigarette,46.0,2.0,1.0,0.5
5.0,4.0,alcohol,neutral,46.0,2.0,1.0,0.5
6.0,4.0,alcohol,alcohol,46.0,0.0,0.0,
6.0,4.0,alcohol,cigarette,46.0,0.0,0.0,
6.0,4.0,alcohol,neutral,46.0,0.0,0.0,
7.0,4.0,alcohol,alcohol,46.0,0.0,0.0,
7.0,4.0,alcohol,cigarette,46.0,0.0,0.0,
7.0,4.0,alcohol,neutral,46.0,0.0,0.0,
