sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,4.0,alcohol,alcohol,603.0,1.0,0.0
1.0,4.0,alcohol,cigarette,603.0,1.0,1.0
1.0,4.0,alcohol,neutral,603.0,1.0,0.0
2.0,4.0,alcohol,alcohol,603.0,1.0,0.0
2.0,4.0,alcohol,cigarette,603.0,1.0,1.0
2.0,4.0,alcohol,neutral,603.0,1.0,0.0
3.0,4.0,alcohol,alcohol,603.0,7.0,0.571428571429
3.0,4.0,alcohol,cigarette,603.0,7.0,0.142857142857
3.0,4.0,alcohol,neutral,603.0,7.0,0.285714285714
4.0,4.0,alcohol,alcohol,603.0,0.0,
4.0,4.0,alcohol,cigarette,603.0,0.0,
4.0,4.0,alcohol,neutral,603.0,0.0,
5.0,4.0,alcohol,alcohol,603.0,9.0,0.555555555556
5.0,4.0,alcohol,cigarette,603.0,9.0,0.222222222222
5.0,4.0,alcohol,neutral,603.0,9.0,0.222222222222
6.0,4.0,alcohol,alcohol,603.0,0.0,
6.0,4.0,alcohol,cigarette,603.0,0.0,
6.0,4.0,alcohol,neutral,603.0,0.0,
7.0,4.0,alcohol,alcohol,603.0,0.0,
7.0,4.0,alcohol,cigarette,603.0,0.0,
7.0,4.0,alcohol,neutral,603.0,0.0,
8.0,4.0,alcohol,alcohol,603.0,9.0,0.555555555556
8.0,4.0,alcohol,cigarette,603.0,9.0,0.444444444444
8.0,4.0,alcohol,neutral,603.0,9.0,0.0
9.0,4.0,alcohol,alcohol,603.0,2.0,0.0
9.0,4.0,alcohol,cigarette,603.0,2.0,0.5
9.0,4.0,alcohol,neutral,603.0,2.0,0.5
10.0,4.0,alcohol,alcohol,603.0,13.0,0.307692307692
10.0,4.0,alcohol,cigarette,603.0,13.0,0.230769230769
10.0,4.0,alcohol,neutral,603.0,13.0,0.461538461538
11.0,4.0,alcohol,alcohol,603.0,0.0,
11.0,4.0,alcohol,cigarette,603.0,0.0,
11.0,4.0,alcohol,neutral,603.0,0.0,
12.0,4.0,alcohol,alcohol,603.0,0.0,
12.0,4.0,alcohol,cigarette,603.0,0.0,
12.0,4.0,alcohol,neutral,603.0,0.0,
13.0,4.0,alcohol,alcohol,603.0,0.0,
13.0,4.0,alcohol,cigarette,603.0,0.0,
13.0,4.0,alcohol,neutral,603.0,0.0,
14.0,4.0,alcohol,alcohol,603.0,19.0,0.736842105263
14.0,4.0,alcohol,cigarette,603.0,19.0,0.157894736842
14.0,4.0,alcohol,neutral,603.0,19.0,0.105263157895
15.0,4.0,alcohol,alcohol,603.0,0.0,
15.0,4.0,alcohol,cigarette,603.0,0.0,
15.0,4.0,alcohol,neutral,603.0,0.0,
16.0,4.0,alcohol,alcohol,603.0,1.0,1.0
16.0,4.0,alcohol,cigarette,603.0,1.0,0.0
16.0,4.0,alcohol,neutral,603.0,1.0,0.0
17.0,4.0,alcohol,alcohol,603.0,11.0,0.454545454545
17.0,4.0,alcohol,cigarette,603.0,11.0,0.181818181818
17.0,4.0,alcohol,neutral,603.0,11.0,0.363636363636
18.0,4.0,alcohol,alcohol,603.0,10.0,0.7
18.0,4.0,alcohol,cigarette,603.0,10.0,0.1
18.0,4.0,alcohol,neutral,603.0,10.0,0.2
19.0,4.0,alcohol,alcohol,603.0,11.0,0.545454545455
19.0,4.0,alcohol,cigarette,603.0,11.0,0.272727272727
19.0,4.0,alcohol,neutral,603.0,11.0,0.181818181818
20.0,4.0,alcohol,alcohol,603.0,7.0,0.571428571429
20.0,4.0,alcohol,cigarette,603.0,7.0,0.428571428571
20.0,4.0,alcohol,neutral,603.0,7.0,0.0
21.0,4.0,alcohol,alcohol,603.0,6.0,0.5
21.0,4.0,alcohol,cigarette,603.0,6.0,0.5
21.0,4.0,alcohol,neutral,603.0,6.0,0.0
22.0,4.0,alcohol,alcohol,603.0,7.0,0.571428571429
22.0,4.0,alcohol,cigarette,603.0,7.0,0.285714285714
22.0,4.0,alcohol,neutral,603.0,7.0,0.142857142857
23.0,4.0,alcohol,alcohol,603.0,9.0,0.222222222222
23.0,4.0,alcohol,cigarette,603.0,9.0,0.555555555556
23.0,4.0,alcohol,neutral,603.0,9.0,0.222222222222
24.0,4.0,alcohol,alcohol,603.0,2.0,0.5
24.0,4.0,alcohol,cigarette,603.0,2.0,0.0
24.0,4.0,alcohol,neutral,603.0,2.0,0.5
25.0,4.0,alcohol,alcohol,603.0,12.0,0.75
25.0,4.0,alcohol,cigarette,603.0,12.0,0.0833333333333
25.0,4.0,alcohol,neutral,603.0,12.0,0.166666666667
26.0,4.0,alcohol,alcohol,603.0,0.0,
26.0,4.0,alcohol,cigarette,603.0,0.0,
26.0,4.0,alcohol,neutral,603.0,0.0,
27.0,4.0,alcohol,alcohol,603.0,0.0,
27.0,4.0,alcohol,cigarette,603.0,0.0,
27.0,4.0,alcohol,neutral,603.0,0.0,
28.0,4.0,alcohol,alcohol,603.0,5.0,0.6
28.0,4.0,alcohol,cigarette,603.0,5.0,0.2
28.0,4.0,alcohol,neutral,603.0,5.0,0.2
29.0,4.0,alcohol,alcohol,603.0,12.0,0.583333333333
29.0,4.0,alcohol,cigarette,603.0,12.0,0.0833333333333
29.0,4.0,alcohol,neutral,603.0,12.0,0.333333333333
1.0,4.0,cigarette,alcohol,603.0,1.0,0.0
1.0,4.0,cigarette,cigarette,603.0,1.0,1.0
1.0,4.0,cigarette,neutral,603.0,1.0,0.0
2.0,4.0,cigarette,alcohol,603.0,11.0,0.363636363636
2.0,4.0,cigarette,cigarette,603.0,11.0,0.272727272727
2.0,4.0,cigarette,neutral,603.0,11.0,0.363636363636
3.0,4.0,cigarette,alcohol,603.0,0.0,
3.0,4.0,cigarette,cigarette,603.0,0.0,
3.0,4.0,cigarette,neutral,603.0,0.0,
4.0,4.0,cigarette,alcohol,603.0,0.0,
4.0,4.0,cigarette,cigarette,603.0,0.0,
4.0,4.0,cigarette,neutral,603.0,0.0,
5.0,4.0,cigarette,alcohol,603.0,5.0,0.2
5.0,4.0,cigarette,cigarette,603.0,5.0,0.4
5.0,4.0,cigarette,neutral,603.0,5.0,0.4
6.0,4.0,cigarette,alcohol,603.0,11.0,0.0909090909091
6.0,4.0,cigarette,cigarette,603.0,11.0,0.727272727273
6.0,4.0,cigarette,neutral,603.0,11.0,0.181818181818
7.0,4.0,cigarette,alcohol,603.0,5.0,0.0
7.0,4.0,cigarette,cigarette,603.0,5.0,1.0
7.0,4.0,cigarette,neutral,603.0,5.0,0.0
8.0,4.0,cigarette,alcohol,603.0,1.0,0.0
8.0,4.0,cigarette,cigarette,603.0,1.0,1.0
8.0,4.0,cigarette,neutral,603.0,1.0,0.0
9.0,4.0,cigarette,alcohol,603.0,2.0,0.5
9.0,4.0,cigarette,cigarette,603.0,2.0,0.5
9.0,4.0,cigarette,neutral,603.0,2.0,0.0
10.0,4.0,cigarette,alcohol,603.0,1.0,1.0
10.0,4.0,cigarette,cigarette,603.0,1.0,0.0
10.0,4.0,cigarette,neutral,603.0,1.0,0.0
11.0,4.0,cigarette,alcohol,603.0,16.0,0.5
11.0,4.0,cigarette,cigarette,603.0,16.0,0.25
11.0,4.0,cigarette,neutral,603.0,16.0,0.25
12.0,4.0,cigarette,alcohol,603.0,0.0,
12.0,4.0,cigarette,cigarette,603.0,0.0,
12.0,4.0,cigarette,neutral,603.0,0.0,
13.0,4.0,cigarette,alcohol,603.0,0.0,
13.0,4.0,cigarette,cigarette,603.0,0.0,
13.0,4.0,cigarette,neutral,603.0,0.0,
14.0,4.0,cigarette,alcohol,603.0,1.0,0.0
