sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,ALC,alcohol,410.0,0.0,0.0,
1.0,1.0,ALC,cigarette,410.0,0.0,0.0,
1.0,1.0,ALC,neutral,410.0,0.0,0.0,
2.0,1.0,ALC,alcohol,410.0,0.0,0.0,
2.0,1.0,ALC,cigarette,410.0,0.0,0.0,
2.0,1.0,ALC,neutral,410.0,0.0,0.0,
3.0,1.0,ALC,alcohol,410.0,0.0,0.0,
3.0,1.0,ALC,cigarette,410.0,0.0,0.0,
3.0,1.0,ALC,neutral,410.0,0.0,0.0,
4.0,1.0,ALC,alcohol,410.0,65.0,60.0,0.923076923077
4.0,1.0,ALC,cigarette,410.0,65.0,4.0,0.0615384615385
4.0,1.0,ALC,neutral,410.0,65.0,1.0,0.0153846153846
5.0,1.0,ALC,alcohol,410.0,0.0,0.0,
5.0,1.0,ALC,cigarette,410.0,0.0,0.0,
5.0,1.0,ALC,neutral,410.0,0.0,0.0,
6.0,1.0,ALC,alcohol,410.0,0.0,0.0,
6.0,1.0,ALC,cigarette,410.0,0.0,0.0,
6.0,1.0,ALC,neutral,410.0,0.0,0.0,
7.0,1.0,ALC,alcohol,410.0,0.0,0.0,
7.0,1.0,ALC,cigarette,410.0,0.0,0.0,
7.0,1.0,ALC,neutral,410.0,0.0,0.0,
8.0,1.0,ALC,alcohol,410.0,0.0,0.0,
8.0,1.0,ALC,cigarette,410.0,0.0,0.0,
8.0,1.0,ALC,neutral,410.0,0.0,0.0,
9.0,1.0,ALC,alcohol,410.0,42.0,19.0,0.452380952381
9.0,1.0,ALC,cigarette,410.0,42.0,15.0,0.357142857143
9.0,1.0,ALC,neutral,410.0,42.0,8.0,0.190476190476
10.0,1.0,ALC,alcohol,410.0,0.0,0.0,
10.0,1.0,ALC,cigarette,410.0,0.0,0.0,
10.0,1.0,ALC,neutral,410.0,0.0,0.0,
11.0,1.0,ALC,alcohol,410.0,0.0,0.0,
11.0,1.0,ALC,cigarette,410.0,0.0,0.0,
11.0,1.0,ALC,neutral,410.0,0.0,0.0,
12.0,1.0,ALC,alcohol,410.0,0.0,0.0,
12.0,1.0,ALC,cigarette,410.0,0.0,0.0,
12.0,1.0,ALC,neutral,410.0,0.0,0.0,
13.0,1.0,ALC,alcohol,410.0,0.0,0.0,
13.0,1.0,ALC,cigarette,410.0,0.0,0.0,
13.0,1.0,ALC,neutral,410.0,0.0,0.0,
14.0,1.0,ALC,alcohol,410.0,0.0,0.0,
14.0,1.0,ALC,cigarette,410.0,0.0,0.0,
14.0,1.0,ALC,neutral,410.0,0.0,0.0,
15.0,1.0,ALC,alcohol,410.0,0.0,0.0,
15.0,1.0,ALC,cigarette,410.0,0.0,0.0,
15.0,1.0,ALC,neutral,410.0,0.0,0.0,
16.0,1.0,ALC,alcohol,410.0,0.0,0.0,
16.0,1.0,ALC,cigarette,410.0,0.0,0.0,
16.0,1.0,ALC,neutral,410.0,0.0,0.0,
17.0,1.0,ALC,alcohol,410.0,0.0,0.0,
17.0,1.0,ALC,cigarette,410.0,0.0,0.0,
17.0,1.0,ALC,neutral,410.0,0.0,0.0,
18.0,1.0,ALC,alcohol,410.0,0.0,0.0,
