sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,1.0,alcohol,alcohol,427.0,9.0,0.777777777778
1.0,1.0,alcohol,cigarette,427.0,9.0,0.111111111111
1.0,1.0,alcohol,neutral,427.0,9.0,0.111111111111
2.0,1.0,alcohol,alcohol,427.0,52.0,0.730769230769
2.0,1.0,alcohol,cigarette,427.0,52.0,0.192307692308
2.0,1.0,alcohol,neutral,427.0,52.0,0.0769230769231
3.0,1.0,alcohol,alcohol,427.0,34.0,0.676470588235
3.0,1.0,alcohol,cigarette,427.0,34.0,0.294117647059
3.0,1.0,alcohol,neutral,427.0,34.0,0.0294117647059
4.0,1.0,alcohol,alcohol,427.0,13.0,0.307692307692
4.0,1.0,alcohol,cigarette,427.0,13.0,0.615384615385
4.0,1.0,alcohol,neutral,427.0,13.0,0.0769230769231
5.0,1.0,alcohol,alcohol,427.0,22.0,0.727272727273
5.0,1.0,alcohol,cigarette,427.0,22.0,0.0909090909091
5.0,1.0,alcohol,neutral,427.0,22.0,0.181818181818
6.0,1.0,alcohol,alcohol,427.0,0.0,
6.0,1.0,alcohol,cigarette,427.0,0.0,
6.0,1.0,alcohol,neutral,427.0,0.0,
7.0,1.0,alcohol,alcohol,427.0,0.0,
7.0,1.0,alcohol,cigarette,427.0,0.0,
7.0,1.0,alcohol,neutral,427.0,0.0,
8.0,1.0,alcohol,alcohol,427.0,17.0,0.705882352941
8.0,1.0,alcohol,cigarette,427.0,17.0,0.117647058824
8.0,1.0,alcohol,neutral,427.0,17.0,0.176470588235
9.0,1.0,alcohol,alcohol,427.0,23.0,0.608695652174
9.0,1.0,alcohol,cigarette,427.0,23.0,0.260869565217
9.0,1.0,alcohol,neutral,427.0,23.0,0.130434782609
10.0,1.0,alcohol,alcohol,427.0,4.0,0.5
10.0,1.0,alcohol,cigarette,427.0,4.0,0.25
10.0,1.0,alcohol,neutral,427.0,4.0,0.25
11.0,1.0,alcohol,alcohol,427.0,62.0,0.693548387097
11.0,1.0,alcohol,cigarette,427.0,62.0,0.209677419355
11.0,1.0,alcohol,neutral,427.0,62.0,0.0967741935484
12.0,1.0,alcohol,alcohol,427.0,19.0,1.0
12.0,1.0,alcohol,cigarette,427.0,19.0,0.0
12.0,1.0,alcohol,neutral,427.0,19.0,0.0
13.0,1.0,alcohol,alcohol,427.0,0.0,
13.0,1.0,alcohol,cigarette,427.0,0.0,
13.0,1.0,alcohol,neutral,427.0,0.0,
14.0,1.0,alcohol,alcohol,427.0,34.0,0.794117647059
14.0,1.0,alcohol,cigarette,427.0,34.0,0.117647058824
