sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,ALC,alcohol,769.0,0.0,0.0,
1.0,3.0,ALC,cigarette,769.0,0.0,0.0,
1.0,3.0,ALC,neutral,769.0,0.0,0.0,
2.0,3.0,ALC,alcohol,769.0,0.0,0.0,
2.0,3.0,ALC,cigarette,769.0,0.0,0.0,
2.0,3.0,ALC,neutral,769.0,0.0,0.0,
3.0,3.0,ALC,alcohol,769.0,0.0,0.0,
3.0,3.0,ALC,cigarette,769.0,0.0,0.0,
3.0,3.0,ALC,neutral,769.0,0.0,0.0,
4.0,3.0,ALC,alcohol,769.0,0.0,0.0,
4.0,3.0,ALC,cigarette,769.0,0.0,0.0,
4.0,3.0,ALC,neutral,769.0,0.0,0.0,
5.0,3.0,ALC,alcohol,769.0,0.0,0.0,
5.0,3.0,ALC,cigarette,769.0,0.0,0.0,
5.0,3.0,ALC,neutral,769.0,0.0,0.0,
6.0,3.0,ALC,alcohol,769.0,0.0,0.0,
6.0,3.0,ALC,cigarette,769.0,0.0,0.0,
6.0,3.0,ALC,neutral,769.0,0.0,0.0,
7.0,3.0,ALC,alcohol,769.0,0.0,0.0,
7.0,3.0,ALC,cigarette,769.0,0.0,0.0,
7.0,3.0,ALC,neutral,769.0,0.0,0.0,
8.0,3.0,ALC,alcohol,769.0,0.0,0.0,
8.0,3.0,ALC,cigarette,769.0,0.0,0.0,
8.0,3.0,ALC,neutral,769.0,0.0,0.0,
9.0,3.0,ALC,alcohol,769.0,16.0,9.0,0.5625
9.0,3.0,ALC,cigarette,769.0,16.0,2.0,0.125
9.0,3.0,ALC,neutral,769.0,16.0,5.0,0.3125
10.0,3.0,ALC,alcohol,769.0,0.0,0.0,
10.0,3.0,ALC,cigarette,769.0,0.0,0.0,
10.0,3.0,ALC,neutral,769.0,0.0,0.0,
11.0,3.0,ALC,alcohol,769.0,0.0,0.0,
11.0,3.0,ALC,cigarette,769.0,0.0,0.0,
11.0,3.0,ALC,neutral,769.0,0.0,0.0,
12.0,3.0,ALC,alcohol,769.0,0.0,0.0,
12.0,3.0,ALC,cigarette,769.0,0.0,0.0,
12.0,3.0,ALC,neutral,769.0,0.0,0.0,
13.0,3.0,ALC,alcohol,769.0,0.0,0.0,
13.0,3.0,ALC,cigarette,769.0,0.0,0.0,
13.0,3.0,ALC,neutral,769.0,0.0,0.0,
14.0,3.0,ALC,alcohol,769.0,0.0,0.0,
14.0,3.0,ALC,cigarette,769.0,0.0,0.0,
14.0,3.0,ALC,neutral,769.0,0.0,0.0,
15.0,3.0,ALC,alcohol,769.0,0.0,0.0,
15.0,3.0,ALC,cigarette,769.0,0.0,0.0,
15.0,3.0,ALC,neutral,769.0,0.0,0.0,
16.0,3.0,ALC,alcohol,769.0,0.0,0.0,
16.0,3.0,ALC,cigarette,769.0,0.0,0.0,
16.0,3.0,ALC,neutral,769.0,0.0,0.0,
17.0,3.0,ALC,alcohol,769.0,0.0,0.0,
17.0,3.0,ALC,cigarette,769.0,0.0,0.0,
17.0,3.0,ALC,neutral,769.0,0.0,0.0,
18.0,3.0,ALC,alcohol,769.0,0.0,0.0,
18.0,3.0,ALC,cigarette,769.0,0.0,0.0,
18.0,3.0,ALC,neutral,769.0,0.0,0.0,
19.0,3.0,ALC,alcohol,769.0,0.0,0.0,
19.0,3.0,ALC,cigarette,769.0,0.0,0.0,
19.0,3.0,ALC,neutral,769.0,0.0,0.0,
20.0,3.0,ALC,alcohol,769.0,0.0,0.0,
20.0,3.0,ALC,cigarette,769.0,0.0,0.0,
20.0,3.0,ALC,neutral,769.0,0.0,0.0,
21.0,3.0,ALC,alcohol,769.0,6.0,3.0,0.5
21.0,3.0,ALC,cigarette,769.0,6.0,2.0,0.333333333333
21.0,3.0,ALC,neutral,769.0,6.0,1.0,0.166666666667
22.0,3.0,ALC,alcohol,769.0,0.0,0.0,
22.0,3.0,ALC,cigarette,769.0,0.0,0.0,
22.0,3.0,ALC,neutral,769.0,0.0,0.0,
23.0,3.0,ALC,alcohol,769.0,0.0,0.0,
23.0,3.0,ALC,cigarette,769.0,0.0,0.0,
23.0,3.0,ALC,neutral,769.0,0.0,0.0,
24.0,3.0,ALC,alcohol,769.0,0.0,0.0,
24.0,3.0,ALC,cigarette,769.0,0.0,0.0,
24.0,3.0,ALC,neutral,769.0,0.0,0.0,
25.0,3.0,ALC,alcohol,769.0,0.0,0.0,
