sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
1.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
1.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
2.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
2.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
2.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
3.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
3.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
3.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
4.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
4.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
4.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
5.0,3.0,cigarette,alcohol,1224.0,1.0,0.0,0.0
5.0,3.0,cigarette,cigarette,1224.0,1.0,1.0,1.0
5.0,3.0,cigarette,neutral,1224.0,1.0,0.0,0.0
6.0,3.0,cigarette,alcohol,1224.0,14.0,4.0,0.285714285714
6.0,3.0,cigarette,cigarette,1224.0,14.0,8.0,0.571428571429
6.0,3.0,cigarette,neutral,1224.0,14.0,2.0,0.142857142857
7.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
7.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
7.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
8.0,3.0,cigarette,alcohol,1224.0,1.0,0.0,0.0
8.0,3.0,cigarette,cigarette,1224.0,1.0,1.0,1.0
8.0,3.0,cigarette,neutral,1224.0,1.0,0.0,0.0
9.0,3.0,cigarette,alcohol,1224.0,1.0,0.0,0.0
9.0,3.0,cigarette,cigarette,1224.0,1.0,1.0,1.0
9.0,3.0,cigarette,neutral,1224.0,1.0,0.0,0.0
10.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
10.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
10.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
11.0,3.0,cigarette,alcohol,1224.0,2.0,0.0,0.0
11.0,3.0,cigarette,cigarette,1224.0,2.0,2.0,1.0
11.0,3.0,cigarette,neutral,1224.0,2.0,0.0,0.0
12.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
12.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
12.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
13.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
13.0,3.0,cigarette,cigarette,1224.0,0.0,0.0,
13.0,3.0,cigarette,neutral,1224.0,0.0,0.0,
14.0,3.0,cigarette,alcohol,1224.0,0.0,0.0,
