sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,cigarette,alcohol,258.0,1.0,0.0,0.0
1.0,4.0,cigarette,cigarette,258.0,1.0,1.0,1.0
1.0,4.0,cigarette,neutral,258.0,1.0,0.0,0.0
2.0,4.0,cigarette,alcohol,258.0,6.0,2.0,0.333333333333
2.0,4.0,cigarette,cigarette,258.0,6.0,2.0,0.333333333333
2.0,4.0,cigarette,neutral,258.0,6.0,2.0,0.333333333333
3.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
3.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
3.0,4.0,cigarette,neutral,258.0,0.0,0.0,
4.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
4.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
4.0,4.0,cigarette,neutral,258.0,0.0,0.0,
5.0,4.0,cigarette,alcohol,258.0,4.0,1.0,0.25
5.0,4.0,cigarette,cigarette,258.0,4.0,2.0,0.5
5.0,4.0,cigarette,neutral,258.0,4.0,1.0,0.25
6.0,4.0,cigarette,alcohol,258.0,13.0,1.0,0.0769230769231
6.0,4.0,cigarette,cigarette,258.0,13.0,12.0,0.923076923077
6.0,4.0,cigarette,neutral,258.0,13.0,0.0,0.0
7.0,4.0,cigarette,alcohol,258.0,7.0,0.0,0.0
7.0,4.0,cigarette,cigarette,258.0,7.0,7.0,1.0
7.0,4.0,cigarette,neutral,258.0,7.0,0.0,0.0
8.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
8.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
8.0,4.0,cigarette,neutral,258.0,0.0,0.0,
9.0,4.0,cigarette,alcohol,258.0,2.0,1.0,0.5
9.0,4.0,cigarette,cigarette,258.0,2.0,0.0,0.0
9.0,4.0,cigarette,neutral,258.0,2.0,1.0,0.5
10.0,4.0,cigarette,alcohol,258.0,2.0,0.0,0.0
10.0,4.0,cigarette,cigarette,258.0,2.0,1.0,0.5
10.0,4.0,cigarette,neutral,258.0,2.0,1.0,0.5
11.0,4.0,cigarette,alcohol,258.0,17.0,4.0,0.235294117647
11.0,4.0,cigarette,cigarette,258.0,17.0,6.0,0.352941176471
11.0,4.0,cigarette,neutral,258.0,17.0,7.0,0.411764705882
12.0,4.0,cigarette,alcohol,258.0,1.0,1.0,1.0
12.0,4.0,cigarette,cigarette,258.0,1.0,0.0,0.0
12.0,4.0,cigarette,neutral,258.0,1.0,0.0,0.0
13.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
13.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
13.0,4.0,cigarette,neutral,258.0,0.0,0.0,
14.0,4.0,cigarette,alcohol,258.0,1.0,0.0,0.0
14.0,4.0,cigarette,cigarette,258.0,1.0,1.0,1.0
14.0,4.0,cigarette,neutral,258.0,1.0,0.0,0.0
15.0,4.0,cigarette,alcohol,258.0,2.0,0.0,0.0
15.0,4.0,cigarette,cigarette,258.0,2.0,2.0,1.0
15.0,4.0,cigarette,neutral,258.0,2.0,0.0,0.0
16.0,4.0,cigarette,alcohol,258.0,2.0,0.0,0.0
16.0,4.0,cigarette,cigarette,258.0,2.0,2.0,1.0
16.0,4.0,cigarette,neutral,258.0,2.0,0.0,0.0
17.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
17.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
17.0,4.0,cigarette,neutral,258.0,0.0,0.0,
18.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
18.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
18.0,4.0,cigarette,neutral,258.0,0.0,0.0,
19.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
19.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
19.0,4.0,cigarette,neutral,258.0,0.0,0.0,
20.0,4.0,cigarette,alcohol,258.0,6.0,1.0,0.166666666667
20.0,4.0,cigarette,cigarette,258.0,6.0,5.0,0.833333333333
20.0,4.0,cigarette,neutral,258.0,6.0,0.0,0.0
21.0,4.0,cigarette,alcohol,258.0,0.0,0.0,
21.0,4.0,cigarette,cigarette,258.0,0.0,0.0,
21.0,4.0,cigarette,neutral,258.0,0.0,0.0,
22.0,4.0,cigarette,alcohol,258.0,5.0,0.0,0.0
22.0,4.0,cigarette,cigarette,258.0,5.0,5.0,1.0
22.0,4.0,cigarette,neutral,258.0,5.0,0.0,0.0
23.0,4.0,cigarette,alcohol,258.0,3.0,0.0,0.0
