sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,CIG,alcohol,1597.0,3.0,2.0,0.666666666667
1.0,1.0,CIG,cigarette,1597.0,3.0,1.0,0.333333333333
1.0,1.0,CIG,neutral,1597.0,3.0,0.0,0.0
2.0,1.0,CIG,alcohol,1597.0,1.0,1.0,1.0
2.0,1.0,CIG,cigarette,1597.0,1.0,0.0,0.0
2.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
3.0,1.0,CIG,alcohol,1597.0,4.0,1.0,0.25
3.0,1.0,CIG,cigarette,1597.0,4.0,2.0,0.5
3.0,1.0,CIG,neutral,1597.0,4.0,1.0,0.25
4.0,1.0,CIG,alcohol,1597.0,0.0,0.0,
4.0,1.0,CIG,cigarette,1597.0,0.0,0.0,
4.0,1.0,CIG,neutral,1597.0,0.0,0.0,
5.0,1.0,CIG,alcohol,1597.0,2.0,2.0,1.0
5.0,1.0,CIG,cigarette,1597.0,2.0,0.0,0.0
5.0,1.0,CIG,neutral,1597.0,2.0,0.0,0.0
6.0,1.0,CIG,alcohol,1597.0,18.0,2.0,0.111111111111
6.0,1.0,CIG,cigarette,1597.0,18.0,15.0,0.833333333333
6.0,1.0,CIG,neutral,1597.0,18.0,1.0,0.0555555555556
7.0,1.0,CIG,alcohol,1597.0,0.0,0.0,
7.0,1.0,CIG,cigarette,1597.0,0.0,0.0,
7.0,1.0,CIG,neutral,1597.0,0.0,0.0,
8.0,1.0,CIG,alcohol,1597.0,0.0,0.0,
8.0,1.0,CIG,cigarette,1597.0,0.0,0.0,
8.0,1.0,CIG,neutral,1597.0,0.0,0.0,
9.0,1.0,CIG,alcohol,1597.0,1.0,0.0,0.0
9.0,1.0,CIG,cigarette,1597.0,1.0,1.0,1.0
9.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
10.0,1.0,CIG,alcohol,1597.0,1.0,0.0,0.0
10.0,1.0,CIG,cigarette,1597.0,1.0,0.0,0.0
10.0,1.0,CIG,neutral,1597.0,1.0,1.0,1.0
11.0,1.0,CIG,alcohol,1597.0,18.0,9.0,0.5
11.0,1.0,CIG,cigarette,1597.0,18.0,7.0,0.388888888889
11.0,1.0,CIG,neutral,1597.0,18.0,2.0,0.111111111111
12.0,1.0,CIG,alcohol,1597.0,1.0,0.0,0.0
12.0,1.0,CIG,cigarette,1597.0,1.0,1.0,1.0
12.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
13.0,1.0,CIG,alcohol,1597.0,12.0,2.0,0.166666666667
13.0,1.0,CIG,cigarette,1597.0,12.0,5.0,0.416666666667
13.0,1.0,CIG,neutral,1597.0,12.0,5.0,0.416666666667
14.0,1.0,CIG,alcohol,1597.0,7.0,5.0,0.714285714286
14.0,1.0,CIG,cigarette,1597.0,7.0,2.0,0.285714285714
14.0,1.0,CIG,neutral,1597.0,7.0,0.0,0.0
15.0,1.0,CIG,alcohol,1597.0,0.0,0.0,
15.0,1.0,CIG,cigarette,1597.0,0.0,0.0,
15.0,1.0,CIG,neutral,1597.0,0.0,0.0,
16.0,1.0,CIG,alcohol,1597.0,3.0,1.0,0.333333333333
16.0,1.0,CIG,cigarette,1597.0,3.0,1.0,0.333333333333
16.0,1.0,CIG,neutral,1597.0,3.0,1.0,0.333333333333
17.0,1.0,CIG,alcohol,1597.0,4.0,1.0,0.25
17.0,1.0,CIG,cigarette,1597.0,4.0,3.0,0.75
17.0,1.0,CIG,neutral,1597.0,4.0,0.0,0.0
18.0,1.0,CIG,alcohol,1597.0,3.0,1.0,0.333333333333
18.0,1.0,CIG,cigarette,1597.0,3.0,2.0,0.666666666667
18.0,1.0,CIG,neutral,1597.0,3.0,0.0,0.0
19.0,1.0,CIG,alcohol,1597.0,1.0,1.0,1.0
19.0,1.0,CIG,cigarette,1597.0,1.0,0.0,0.0
19.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
20.0,1.0,CIG,alcohol,1597.0,19.0,9.0,0.473684210526
20.0,1.0,CIG,cigarette,1597.0,19.0,8.0,0.421052631579
20.0,1.0,CIG,neutral,1597.0,19.0,2.0,0.105263157895
21.0,1.0,CIG,alcohol,1597.0,1.0,0.0,0.0
21.0,1.0,CIG,cigarette,1597.0,1.0,1.0,1.0
21.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
22.0,1.0,CIG,alcohol,1597.0,1.0,0.0,0.0
22.0,1.0,CIG,cigarette,1597.0,1.0,1.0,1.0
22.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
23.0,1.0,CIG,alcohol,1597.0,2.0,1.0,0.5
23.0,1.0,CIG,cigarette,1597.0,2.0,0.0,0.0
23.0,1.0,CIG,neutral,1597.0,2.0,1.0,0.5
24.0,1.0,CIG,alcohol,1597.0,1.0,0.0,0.0
24.0,1.0,CIG,cigarette,1597.0,1.0,1.0,1.0
24.0,1.0,CIG,neutral,1597.0,1.0,0.0,0.0
25.0,1.0,CIG,alcohol,1597.0,15.0,6.0,0.4
25.0,1.0,CIG,cigarette,1597.0,15.0,5.0,0.333333333333
25.0,1.0,CIG,neutral,1597.0,15.0,4.0,0.266666666667
26.0,1.0,CIG,alcohol,1597.0,14.0,2.0,0.142857142857
26.0,1.0,CIG,cigarette,1597.0,14.0,8.0,0.571428571429
26.0,1.0,CIG,neutral,1597.0,14.0,4.0,0.285714285714
27.0,1.0,CIG,alcohol,1597.0,15.0,2.0,0.133333333333
27.0,1.0,CIG,cigarette,1597.0,15.0,8.0,0.533333333333
27.0,1.0,CIG,neutral,1597.0,15.0,5.0,0.333333333333
28.0,1.0,CIG,alcohol,1597.0,7.0,2.0,0.285714285714
28.0,1.0,CIG,cigarette,1597.0,7.0,4.0,0.571428571429
28.0,1.0,CIG,neutral,1597.0,7.0,1.0,0.142857142857
29.0,1.0,CIG,alcohol,1597.0,60.0,25.0,0.416666666667
29.0,1.0,CIG,cigarette,1597.0,60.0,18.0,0.3
29.0,1.0,CIG,neutral,1597.0,60.0,17.0,0.283333333333
1.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
1.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
1.0,1.0,ALC,neutral,1597.0,0.0,0.0,
2.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
2.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
2.0,1.0,ALC,neutral,1597.0,0.0,0.0,
3.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
3.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
3.0,1.0,ALC,neutral,1597.0,0.0,0.0,
4.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
4.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
4.0,1.0,ALC,neutral,1597.0,0.0,0.0,
5.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
5.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
5.0,1.0,ALC,neutral,1597.0,0.0,0.0,
6.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
6.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
6.0,1.0,ALC,neutral,1597.0,0.0,0.0,
7.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
7.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
7.0,1.0,ALC,neutral,1597.0,0.0,0.0,
8.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
8.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
8.0,1.0,ALC,neutral,1597.0,0.0,0.0,
9.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
9.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
9.0,1.0,ALC,neutral,1597.0,0.0,0.0,
10.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
10.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
10.0,1.0,ALC,neutral,1597.0,0.0,0.0,
11.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
11.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
11.0,1.0,ALC,neutral,1597.0,0.0,0.0,
12.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
12.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
12.0,1.0,ALC,neutral,1597.0,0.0,0.0,
13.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
13.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
13.0,1.0,ALC,neutral,1597.0,0.0,0.0,
14.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
14.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
14.0,1.0,ALC,neutral,1597.0,0.0,0.0,
15.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
15.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
15.0,1.0,ALC,neutral,1597.0,0.0,0.0,
16.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
16.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
16.0,1.0,ALC,neutral,1597.0,0.0,0.0,
17.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
17.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
17.0,1.0,ALC,neutral,1597.0,0.0,0.0,
18.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
18.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
18.0,1.0,ALC,neutral,1597.0,0.0,0.0,
19.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
19.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
19.0,1.0,ALC,neutral,1597.0,0.0,0.0,
20.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
20.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
20.0,1.0,ALC,neutral,1597.0,0.0,0.0,
21.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
21.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
21.0,1.0,ALC,neutral,1597.0,0.0,0.0,
22.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
22.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
22.0,1.0,ALC,neutral,1597.0,0.0,0.0,
23.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
23.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
23.0,1.0,ALC,neutral,1597.0,0.0,0.0,
24.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
24.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
24.0,1.0,ALC,neutral,1597.0,0.0,0.0,
25.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
25.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
25.0,1.0,ALC,neutral,1597.0,0.0,0.0,
26.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
26.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
26.0,1.0,ALC,neutral,1597.0,0.0,0.0,
27.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
27.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
27.0,1.0,ALC,neutral,1597.0,0.0,0.0,
28.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
28.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
28.0,1.0,ALC,neutral,1597.0,0.0,0.0,
29.0,1.0,ALC,alcohol,1597.0,0.0,0.0,
29.0,1.0,ALC,cigarette,1597.0,0.0,0.0,
29.0,1.0,ALC,neutral,1597.0,0.0,0.0,
