sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,CIG,alcohol,1327.0,3.0,1.0,0.333333333333
1.0,2.0,CIG,cigarette,1327.0,3.0,1.0,0.333333333333
1.0,2.0,CIG,neutral,1327.0,3.0,1.0,0.333333333333
2.0,2.0,CIG,alcohol,1327.0,0.0,0.0,
2.0,2.0,CIG,cigarette,1327.0,0.0,0.0,
2.0,2.0,CIG,neutral,1327.0,0.0,0.0,
3.0,2.0,CIG,alcohol,1327.0,3.0,1.0,0.333333333333
3.0,2.0,CIG,cigarette,1327.0,3.0,1.0,0.333333333333
3.0,2.0,CIG,neutral,1327.0,3.0,1.0,0.333333333333
4.0,2.0,CIG,alcohol,1327.0,0.0,0.0,
4.0,2.0,CIG,cigarette,1327.0,0.0,0.0,
4.0,2.0,CIG,neutral,1327.0,0.0,0.0,
5.0,2.0,CIG,alcohol,1327.0,1.0,1.0,1.0
5.0,2.0,CIG,cigarette,1327.0,1.0,0.0,0.0
5.0,2.0,CIG,neutral,1327.0,1.0,0.0,0.0
6.0,2.0,CIG,alcohol,1327.0,13.0,6.0,0.461538461538
6.0,2.0,CIG,cigarette,1327.0,13.0,3.0,0.230769230769
6.0,2.0,CIG,neutral,1327.0,13.0,4.0,0.307692307692
7.0,2.0,CIG,alcohol,1327.0,0.0,0.0,
7.0,2.0,CIG,cigarette,1327.0,0.0,0.0,
7.0,2.0,CIG,neutral,1327.0,0.0,0.0,
8.0,2.0,CIG,alcohol,1327.0,1.0,1.0,1.0
8.0,2.0,CIG,cigarette,1327.0,1.0,0.0,0.0
8.0,2.0,CIG,neutral,1327.0,1.0,0.0,0.0
9.0,2.0,CIG,alcohol,1327.0,7.0,0.0,0.0
9.0,2.0,CIG,cigarette,1327.0,7.0,3.0,0.428571428571
9.0,2.0,CIG,neutral,1327.0,7.0,4.0,0.571428571429
10.0,2.0,CIG,alcohol,1327.0,5.0,1.0,0.2
10.0,2.0,CIG,cigarette,1327.0,5.0,3.0,0.6
10.0,2.0,CIG,neutral,1327.0,5.0,1.0,0.2
11.0,2.0,CIG,alcohol,1327.0,26.0,9.0,0.346153846154
11.0,2.0,CIG,cigarette,1327.0,26.0,8.0,0.307692307692
11.0,2.0,CIG,neutral,1327.0,26.0,9.0,0.346153846154
12.0,2.0,CIG,alcohol,1327.0,2.0,1.0,0.5
12.0,2.0,CIG,cigarette,1327.0,2.0,0.0,0.0
12.0,2.0,CIG,neutral,1327.0,2.0,1.0,0.5
13.0,2.0,CIG,alcohol,1327.0,11.0,4.0,0.363636363636
13.0,2.0,CIG,cigarette,1327.0,11.0,2.0,0.181818181818
13.0,2.0,CIG,neutral,1327.0,11.0,5.0,0.454545454545
14.0,2.0,CIG,alcohol,1327.0,10.0,4.0,0.4
14.0,2.0,CIG,cigarette,1327.0,10.0,3.0,0.3
14.0,2.0,CIG,neutral,1327.0,10.0,3.0,0.3
15.0,2.0,CIG,alcohol,1327.0,0.0,0.0,
15.0,2.0,CIG,cigarette,1327.0,0.0,0.0,
15.0,2.0,CIG,neutral,1327.0,0.0,0.0,
16.0,2.0,CIG,alcohol,1327.0,2.0,0.0,0.0
16.0,2.0,CIG,cigarette,1327.0,2.0,1.0,0.5
16.0,2.0,CIG,neutral,1327.0,2.0,1.0,0.5
17.0,2.0,CIG,alcohol,1327.0,2.0,1.0,0.5
17.0,2.0,CIG,cigarette,1327.0,2.0,1.0,0.5
17.0,2.0,CIG,neutral,1327.0,2.0,0.0,0.0
18.0,2.0,CIG,alcohol,1327.0,2.0,0.0,0.0
18.0,2.0,CIG,cigarette,1327.0,2.0,1.0,0.5
18.0,2.0,CIG,neutral,1327.0,2.0,1.0,0.5
19.0,2.0,CIG,alcohol,1327.0,6.0,1.0,0.166666666667
19.0,2.0,CIG,cigarette,1327.0,6.0,5.0,0.833333333333
19.0,2.0,CIG,neutral,1327.0,6.0,0.0,0.0
20.0,2.0,CIG,alcohol,1327.0,15.0,7.0,0.466666666667
20.0,2.0,CIG,cigarette,1327.0,15.0,5.0,0.333333333333
20.0,2.0,CIG,neutral,1327.0,15.0,3.0,0.2
21.0,2.0,CIG,alcohol,1327.0,2.0,1.0,0.5
21.0,2.0,CIG,cigarette,1327.0,2.0,0.0,0.0
21.0,2.0,CIG,neutral,1327.0,2.0,1.0,0.5
22.0,2.0,CIG,alcohol,1327.0,2.0,0.0,0.0
22.0,2.0,CIG,cigarette,1327.0,2.0,2.0,1.0
22.0,2.0,CIG,neutral,1327.0,2.0,0.0,0.0
23.0,2.0,CIG,alcohol,1327.0,1.0,1.0,1.0
23.0,2.0,CIG,cigarette,1327.0,1.0,0.0,0.0
23.0,2.0,CIG,neutral,1327.0,1.0,0.0,0.0
24.0,2.0,CIG,alcohol,1327.0,4.0,2.0,0.5
24.0,2.0,CIG,cigarette,1327.0,4.0,1.0,0.25
24.0,2.0,CIG,neutral,1327.0,4.0,1.0,0.25
25.0,2.0,CIG,alcohol,1327.0,12.0,5.0,0.416666666667
25.0,2.0,CIG,cigarette,1327.0,12.0,6.0,0.5
25.0,2.0,CIG,neutral,1327.0,12.0,1.0,0.0833333333333
26.0,2.0,CIG,alcohol,1327.0,5.0,0.0,0.0
26.0,2.0,CIG,cigarette,1327.0,5.0,2.0,0.4
26.0,2.0,CIG,neutral,1327.0,5.0,3.0,0.6
27.0,2.0,CIG,alcohol,1327.0,12.0,3.0,0.25
27.0,2.0,CIG,cigarette,1327.0,12.0,3.0,0.25
27.0,2.0,CIG,neutral,1327.0,12.0,6.0,0.5
28.0,2.0,CIG,alcohol,1327.0,4.0,1.0,0.25
28.0,2.0,CIG,cigarette,1327.0,4.0,1.0,0.25
28.0,2.0,CIG,neutral,1327.0,4.0,2.0,0.5
29.0,2.0,CIG,alcohol,1327.0,25.0,6.0,0.24
29.0,2.0,CIG,cigarette,1327.0,25.0,4.0,0.16
29.0,2.0,CIG,neutral,1327.0,25.0,15.0,0.6
1.0,2.0,ALC,alcohol,1327.0,0.0,0.0,
1.0,2.0,ALC,cigarette,1327.0,0.0,0.0,
1.0,2.0,ALC,neutral,1327.0,0.0,0.0,
2.0,2.0,ALC,alcohol,1327.0,0.0,0.0,
2.0,2.0,ALC,cigarette,1327.0,0.0,0.0,
2.0,2.0,ALC,neutral,1327.0,0.0,0.0,
3.0,2.0,ALC,alcohol,1327.0,0.0,0.0,
